@_id,@_location,word/0/@_form,word/0/@_id,word/0/lemma/@_id,word/0/lemma/@_entry,word/0/lemma/@_POS,word/0/lemma/@_TreeTagger,word/0/lemma/@_disambiguated,word/0/lemma/analysis/@_morph,word/1/@_form,word/1/@_id,word/1/lemma/@_id,word/1/lemma/@_entry,word/1/lemma/@_POS,word/1/lemma/@_TreeTagger,word/1/lemma/@_disambiguated,word/1/lemma/analysis/@_morph,word/2/@_form,word/2/@_id,word/2/lemma/@_id,word/2/lemma/@_entry,word/2/lemma/@_POS,word/2/lemma/@_disambiguated,word/2/lemma/@_TreeTagger,word/2/lemma/analysis/@_morph,word/3/@_form,word/3/@_id,word/3/lemma/@_id,word/3/lemma/@_entry,word/3/lemma/@_POS,word/3/lemma/@_TreeTagger,word/3/lemma/@_disambiguated,word/3/lemma/analysis/@_morph,word/4/@_form,word/4/@_id,word/4/lemma/@_id,word/4/lemma/@_entry,word/4/lemma/@_POS,word/4/lemma/@_TreeTagger,word/4/lemma/@_disambiguated,word/4/lemma/analysis/0/@_morph,word/4/lemma/analysis/1/@_morph,word/5/@_form,word/5/@_id,word/5/lemma/@_id,word/5/lemma/@_entry,word/5/lemma/@_POS,word/5/lemma/@_TreeTagger,word/5/lemma/@_disambiguated,word/5/lemma/analysis/0/@_morph,word/5/lemma/analysis/1/@_morph,word/6/@_form,word/6/@_id,word/6/lemma/@_id,word/6/lemma/@_entry,word/6/lemma/@_POS,word/6/lemma/@_TreeTagger,word/6/lemma/@_disambiguated,word/6/lemma/analysis/@_morph,word/7/@_form,word/7/@_id,word/7/lemma/@_id,word/7/lemma/@_entry,word/7/lemma/@_POS,word/7/lemma/@_TreeTagger,word/7/lemma/@_disambiguated,word/7/lemma/analysis/0/@_morph,word/7/lemma/analysis/1/@_morph,word/8/@_form,word/8/@_id,word/8/lemma/@_id,word/8/lemma/@_entry,word/8/lemma/@_POS,word/8/lemma/@_TreeTagger,word/8/lemma/@_disambiguated,word/8/lemma/analysis/@_morph,word/9/@_form,word/9/@_id,word/9/lemma/@_id,word/9/lemma/@_entry,word/9/lemma/@_POS,word/9/lemma/@_TreeTagger,word/9/lemma/@_disambiguated,word/9/lemma/analysis/0/@_morph,word/9/lemma/analysis/1/@_morph,word/10/@_form,word/10/@_id,word/10/lemma/@_id,word/10/lemma/@_entry,word/10/lemma/@_POS,word/10/lemma/@_TreeTagger,word/10/lemma/@_disambiguated,word/10/lemma/analysis/0/@_morph,word/10/lemma/analysis/1/@_morph,word/11/@_form,word/11/@_id,word/11/lemma/@_id,word/11/lemma/@_entry,word/11/lemma/@_POS,word/11/lemma/@_TreeTagger,word/11/lemma/@_disambiguated,word/11/lemma/analysis/0/@_morph,word/11/lemma/analysis/1/@_morph,word/12/@_form,word/12/@_id,word/12/lemma/@_id,word/12/lemma/@_entry,word/12/lemma/@_POS,word/12/lemma/@_TreeTagger,word/12/lemma/@_disambiguated,word/12/lemma/analysis/0/@_morph,word/12/lemma/analysis/1/@_morph,word/13/@_form,word/13/@_id,word/13/lemma/@_id,word/13/lemma/@_entry,word/13/lemma/@_POS,word/13/lemma/@_TreeTagger,word/13/lemma/@_disambiguated,word/13/lemma/analysis/@_morph,word/14/@_form,word/14/@_id,word/14/lemma/@_id,word/14/lemma/@_entry,word/14/lemma/@_POS,word/14/lemma/@_TreeTagger,word/14/lemma/@_disambiguated,word/14/lemma/analysis/@_morph,word/15/@_form,word/15/@_id,word/15/lemma/@_id,word/15/lemma/@_entry,word/15/lemma/@_POS,word/15/lemma/@_TreeTagger,word/15/lemma/@_disambiguated,word/15/lemma/analysis/0/@_morph,word/15/lemma/analysis/1/@_morph,word/16/@_form,word/16/@_id,word/16/lemma/@_id,word/16/lemma/@_entry,word/16/lemma/@_POS,word/16/lemma/@_disambiguated,word/16/lemma/@_TreeTagger,word/16/lemma/analysis/@_morph,word/17/@_form,word/17/@_id,word/17/lemma/@_id,word/17/lemma/@_TreeTagger,word/17/lemma/@_disambiguated,word/18/@_form,word/18/@_id,word/18/lemma/@_id,word/18/lemma/@_entry,word/18/lemma/@_POS,word/18/lemma/@_TreeTagger,word/18/lemma/@_disambiguated,word/18/lemma/analysis/@_morph,punct/0/@_mark,punct/1/@_mark,punct/2/@_mark,word/3/lemma/analysis/0/@_morph,word/3/lemma/analysis/1/@_morph,word/2/lemma/analysis/0/@_morph,word/2/lemma/analysis/1/@_morph,word/2/lemma/analysis/2/@_morph,punct/@_mark,word/0/lemma/analysis/0/@_morph,word/0/lemma/analysis/1/@_morph,word/0/lemma/analysis/2/@_morph,word/4/lemma/analysis/@_morph,word/5/lemma/analysis/@_morph,word/7/lemma/analysis/@_morph,word/10/lemma/analysis/@_morph,word/11/lemma/analysis/@_morph,word/12/lemma/analysis/@_morph,word/15/lemma/analysis/@_morph,word/17/lemma/@_entry,word/17/lemma/@_POS,word/17/lemma/analysis/@_morph,word/19/@_form,word/19/@_id,word/19/lemma/@_id,word/19/lemma/@_entry,word/19/lemma/@_POS,word/19/lemma/@_disambiguated,word/19/lemma/@_TreeTagger,word/19/lemma/analysis/@_morph,word/20/@_form,word/20/@_id,word/20/lemma/@_id,word/20/lemma/@_TreeTagger,word/20/lemma/@_disambiguated,word/21/@_form,word/21/@_id,word/21/lemma/@_id,word/21/lemma/@_entry,word/21/lemma/@_POS,word/21/lemma/@_TreeTagger,word/21/lemma/@_disambiguated,word/21/lemma/analysis/@_morph,word/22/@_form,word/22/@_id,word/22/lemma/@_id,word/22/lemma/@_TreeTagger,word/22/lemma/@_disambiguated,word/23/@_form,word/23/@_id,word/23/lemma/@_id,word/23/lemma/@_TreeTagger,word/23/lemma/@_disambiguated,word/24/@_form,word/24/@_id,word/24/lemma/@_id,word/24/lemma/@_entry,word/24/lemma/@_POS,word/24/lemma/@_TreeTagger,word/24/lemma/@_disambiguated,word/24/lemma/analysis/0/@_morph,word/24/lemma/analysis/1/@_morph,word/25/@_form,word/25/@_id,word/25/lemma/@_id,word/25/lemma/@_entry,word/25/lemma/@_POS,word/25/lemma/@_TreeTagger,word/25/lemma/@_disambiguated,word/25/lemma/analysis/@_morph,word/26/@_form,word/26/@_id,word/26/lemma/@_id,word/26/lemma/@_entry,word/26/lemma/@_POS,word/26/lemma/@_TreeTagger,word/26/lemma/@_disambiguated,word/26/lemma/analysis/@_morph,word/27/@_form,word/27/@_id,word/27/lemma/@_id,word/27/lemma/@_entry,word/27/lemma/@_POS,word/27/lemma/@_TreeTagger,word/27/lemma/@_disambiguated,word/27/lemma/analysis/0/@_morph,word/27/lemma/analysis/1/@_morph,word/28/@_form,word/28/@_id,word/28/lemma/@_id,word/28/lemma/@_entry,word/28/lemma/@_POS,word/28/lemma/@_TreeTagger,word/28/lemma/@_disambiguated,word/28/lemma/analysis/@_morph,punct/3/@_mark,punct/4/@_mark,word/9/lemma/analysis/@_morph,word/7/lemma/analysis/2/@_morph,word/7/lemma/analysis/3/@_morph,word/13/lemma/analysis/0/@_morph,word/13/lemma/analysis/1/@_morph,word/19/lemma/analysis/0/@_morph,word/19/lemma/analysis/1/@_morph,word/20/lemma/@_entry,word/20/lemma/@_POS,word/20/lemma/analysis/@_morph,word/22/lemma/@_entry,word/22/lemma/@_POS,word/22/lemma/analysis/@_morph,word/23/lemma/@_entry,word/23/lemma/@_POS,word/23/lemma/analysis/0/@_morph,word/23/lemma/analysis/1/@_morph,word/24/lemma/analysis/@_morph,word/21/lemma/analysis/0/@_morph,word/21/lemma/analysis/1/@_morph,word/6/lemma/analysis/0/@_morph,word/6/lemma/analysis/1/@_morph,word/9/lemma/analysis/2/@_morph,word/16/lemma/analysis/0/@_morph,word/16/lemma/analysis/1/@_morph,word/1/lemma/analysis/0/@_morph,word/1/lemma/analysis/1/@_morph,word/5/lemma/analysis/2/@_morph,word/17/lemma/analysis/0/@_morph,word/17/lemma/analysis/1/@_morph,word/18/lemma/analysis/0/@_morph,word/18/lemma/analysis/1/@_morph,word/18/lemma/analysis/2/@_morph,word/18/lemma/analysis/3/@_morph,word/18/lemma/analysis/4/@_morph,word/19/lemma/analysis/2/@_morph,word/19/lemma/analysis/3/@_morph,word/23/lemma/analysis/@_morph,word/10/lemma/analysis/2/@_morph,word/10/lemma/analysis/3/@_morph,word/8/lemma/analysis/0/@_morph,word/8/lemma/analysis/1/@_morph
1,2.1,*lh=|s,1,nlsj6887,Λής,proper,false,n/a,masc dat pl (epic doric),nu/,2,71308,νῦν,adverb,false,n/a,enclitic indeclform (adverb),ti/,3,nlsj65910,τίς,pronoun,0.5,true,neut nom/voc/acc sg,moi,4,30657,ἐγώ,pronoun,false,n/a,masc/fem dat 1st sg,*luki/da,5,nlsj7305,Λυκίδης,proper,false,n/a,masc nom/voc/acc dual,masc gen sg (doric aeolic),*sikelo\n,6,94099,Σικελός,proper,false,n/a,masc acc sg,neut nom/voc/acc sg,me/los,7,66187,μέλος,noun,false,n/a,neut nom/voc/acc sg,a(du\,8,46712,ἡδύς,adjective,false,n/a,masc voc sg (doric),neut nom/voc/acc sg (doric),ligai/nein,9,63073,λιγαίνω,verb,false,n/a,pres inf act (attic epic),i(mero/en,10,50473,ἱμερόεις,adjective,false,n/a,masc voc sg,neut nom/voc sg,gluku/qumon,11,22367,γλυκύθυμος,adjective,false,n/a,masc/fem acc sg,neut nom/voc/acc sg,e)rwtiko/n,12,42854,ἐρωτικός,adjective,false,n/a,masc acc sg,neut nom/voc/acc sg,oi(=on,13,72627,οἷος,adjective,false,n/a,masc acc sg,neut nom/voc/acc sg,o(,14,71882,ὁ,article,false,n/a,masc nom sg,*ku/klwy,15,60668,Κύκλωψ,proper,false,n/a,masc nom/voc sg,a)/eisen,16,1587,ἀείδω,verb,false,n/a,aor ind act 3rd sg (epic doric ionic aeolic),aor ind act 3rd sg (epic doric ionic aeolic),*polu/famos,17,85473,πολύφαμος,adjective,0.5,true,masc/fem nom sg,e)pa|oni/a|,18,unknown,false,n/a,*galatei/a|,19,nlsj5648,Γαλάτεια,proper,false,n/a,fem dat sg (attic doric aeolic),",",",",;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.4,kh)moi\,1,34194,ἐμός,adjective,true,1.0,masc nom/voc pl,suri/sden,2,101251,συρίζω,verb,false,n/a,pres inf act (epic doric),*mu/rswn,3,nlsj8003,Μύρσος,proper,n/a,false,masc gen pl,fi/lon,4,nlsj56179,φίλος,adjective,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",:,masc acc sg,neut nom/voc/acc sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.4,a)lla\,1,4357,ἀλλά,adverb,false,n/a,indeclform (adverb),ti/,2,nlsj65910,τίς,pronoun,true,0.5,neut nom/voc/acc sg,me/lyw,3,66196,μέλπω,verb,n/a,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aor subj act 1st sg,fut ind act 1st sg,aor ind mid 2nd sg (homeric ionic),;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.5,*sku/rion,1,nlsj10103,Σκύριος,proper,false,n/a,,w)=,2,116027,ὦ,interjection,true,1.0,indeclform (exclam),*luki/da,3,nlsj7305,Λυκίδης,proper,n/a,false,,zalw/menon,4,unknown,,,false,n/a,,a(du\n,5,46712,ἡδύς,adjective,false,n/a,,,e)/rwta,6,42840,ἔρως,noun,false,n/a,,,la/qria,7,61611,λάθριος,adjective,false,n/a,neut nom/voc/acc pl,*phlei/dao,8,nlsj8840,Πηλείδης,proper,true,0.5,,,fila/mata,9,110994,φίλημα,noun,false,n/a,neut nom/voc/acc pl (doric),la/qrion,10,61611,λάθριος,adjective,false,n/a,masc/fem acc sg,neut nom/voc/acc sg,eu)na/n,11,44534,εὐνή,noun,false,n/a,,,pw=s,12,92010,πῶς,adverb,true,0.5,,,pai=s,13,79904,πᾶς,adjective,true,0.5,,,e(/ssato,14,35886,ἕννυμι,verb,true,0.5,aor ind mid 3rd sg (epic),fa=ros,15,110368,φᾶρος,noun,false,n/a,neut nom/voc/acc sg,o(/pws,16,74713,ὅπως,conjunction,false,n/a,,,d',17,23596,δέ,particle,n/a,false,indeclform (particle),e)yeu/sato,18,115586,false,n/a,morfa\n,19,68791,μορφή,noun,false,n/a,fem acc sg (doric aeolic),",",",",",",,,masc nom/voc/acc dual,masc gen sg (doric aeolic),,,masc acc sg,neut nom/voc/acc sg,masc acc sg,masc acc sg (doric),masc acc sg,masc gen sg (epic doric),fem acc sg (doric aeolic),indeclform (interrog),masc nom/voc sg (doric aeolic),indeclform (conj),ψεύδω,verb,aor ind mid 3rd sg,kh)n,20,34700,ἐν,preposition,0.5,true,proclitic indeclform (prep),kw/raisin,21,unknown,false,n/a,o(/pws,22,74713,ὅπως,conjunction,false,n/a,indeclform (conj),*lukomhdi/sin,23,unknown,false,n/a,a(pale/goisa,24,unknown,false,n/a,h)ei/dh,25,72202,οἶδα,verb,false,n/a,plup ind act 3rd sg (epic doric aeolic),plup ind act 1st sg (epic),kata\,26,53647,κατά,preposition,false,n/a,indeclform (prep),pasto\n,27,79971,παστός,adjective,false,n/a,masc acc sg,*)axille/a,28,18714,Ἀχιλλεύς,proper,false,n/a,masc acc sg,masc acc sg,*dhi+da/meia,29,nlsj4635,Δηιδαμεία,proper,false,n/a,fem nom/voc sg,",",.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.10,*(/arpase,1,15399,ἁρπάζω,verb,true,1.0,,ta\n,2,71882,ὁ,article,false,n/a,fem acc sg (doric aeolic),*(ele/nan,3,nlsj968,Ἑλένη,proper,n/a,false,fem acc sg (doric aeolic),po/q',4,84215,πόθι,adverb,true,0.33,indeclform (adverb),o(,5,71882,ὁ,article,false,n/a,,,bouko/los,6,nlsj30084,βουκόλος,noun,false,n/a,,,a)=ge,7,1083,ἄγω,verb,false,n/a,imperf ind act 3rd sg (doric aeolic),d',8,23596,δέ,particle,false,n/a,,,e)s,9,31235,εἰς,preposition,false,n/a,proclitic indeclform (prep),*)/idan,10,nlsj1689,Ἴδη,proper,true,0.5,,,*oi)nw/na|,11,nlsj8342,Οἰνώνη,proper,false,n/a,,,kako\n,12,52332,κακός,adjective,false,n/a,masc acc sg,neut nom/voc/acc sg,a)/lgos,13,3903,ἄλγος,noun,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",.,,,,,,,aor ind act 3rd sg (doric aeolic),aor ind act 3rd sg (homeric ionic),,masc nom sg,masc nom sg,indeclform (particle),fem dat sg (doric aeolic),,neut nom/voc/acc sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fem acc sg (doric aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
