word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
*ou)olou=skoi,de\,δέ,particle,toi=s,ὁ,article,ptai/smasi,πταῖσμα,noun,tw=n,ὁ,article,geito/nwn,γείτων,noun,ou),οὐ,adverb,kataplage/ntes,καταπλάσσω,verb,e)stra/teuon,στρατεύω,verb,e)pi\,ἐπί,preposition,*(rwmai/ous,kai\,καί,conjunction,e)polio/rkoun,πολιορκέω,verb,tou\s,ὁ,article,au)tw=n,αὐτός,pronoun,klhrou/xous,κλήρουχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,dh=mos,δῆμος,noun,to\n,ὁ,article,*ma/rkion,Μάρκιος,proper,metio/nta,μέτειμι,verb,th\n,ὁ,article,u(patei/an,ὑπατεία,noun,ou)k,οὐ,adverb,e)xeiroto/nhsen,χειροτονέω,verb,ou),to\n,ὁ,article,a)/ndra,ἀνήρ,noun,a)paciw=n,ἀπαξιόω,verb,a)lla\,ἀλλά,adverb,to\,ὁ,article,ὁ,article,οὐ,adverb,fro/nhma,φρόνημα,noun,dediw\s,δείδω,verb,au)tou\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,*ma/rkios,Μάρκιος,proper,pimpra/menos,πίμπρημι,verb,e)pi\,ἐπί,preposition,*(rwmai/ois,,,fugh\n,φυγή,noun,katadikasqei/s,καταδικάζω,verb,kai\,καί,conjunction,mikro\n,μικρός,adjective,e)s,εἰς,preposition,au)tou\s,ou)de\n,οὐδείς,pronoun,e)pinow=n,ἐπινοέω,verb,e)s,εἰς,preposition,*ou)olou/skous,Οὐόλουσκος,proper,e)tra/peto,τρέπω,verb,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,patri/da,πατρίς,adjective,kai\,καί,conjunction,ge/nos,γένος,noun,a)llaca/menos,ἀλλάσσω,verb,h(/koi,ἥκω,verb,to\,ὁ,article,mhde\n,μηδείς,pronoun,h(ghsa/menos,ἡγέομαι,verb,kai\,καί,conjunction,ta\,tw=n,ὁ,article,*ou)olou/skwn,Οὐόλουσκος,proper,a)nti\,ἀντί,preposition,th=s,ὁ,article,patri/dos,πατρίς,adjective,ὅστις,pronoun,τίς,pronoun,ai(rh/sesqai,αἱρέω,verb,boulhqei/s,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,tou=,ὁ,article,*marki/ou,Μάρκιος,proper,fugadeuqe/ntos,φυγαδεύω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,*ou)olou/skous,Οὐόλουσκος,proper,katafugo/ntos,καταφεύγω,verb,kai\,καί,conjunction,kata\,κατά,preposition,*(rwmai/wn,e)kstrateu/santos,ἐκστρατεύω,verb,kai\,καί,conjunction,tessara/konta,τεσσαράκοντα,adjective,stadi/ous,στάδιον,noun,a)posxo/ntos,ἀπέχω,verb,ὅστις,pronoun,,,a)po\,ἀπό,preposition,tou=,ὁ,article,a)/steos,ἄστυ,noun,kai\,καί,conjunction,stratopedeu/santos,στρατοπεδεύω,verb,o(,ὁ,article,dh=mos,δῆμος,noun,h)pei/lei,ἀπειλέω,verb,th=|,ὁ,article,boulh=|,βουλεύς,noun,paradw/sein,παραδίδωμι,verb,ta\,ὁ,article,tei/xh,τεῖχος,noun,toi=s,ὁ,article,polemi/ois,πολέμιος,adjective,ei),εἰ,conjunction,mh\,μή,conjunction,presbeu/sointo,πρεσβεύω,verb,peri\,περί,preposition,diallagw=n,διαλλαγή,noun,pro\s,πρός,preposition,*ma/rkion,Μάρκιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,de\,δέ,particle,mo/lis,μόλις,adverb,e)ce/pemyen,ἐκπέμπω,verb,au)tokra/toras,αὐτοκράτωρ,adjective,ei)rh/nhs,εἰρήνη,noun,pe/ri,περί,preposition,*(rwmai/ois,,,prepou/shs,πρέπω,verb,oi(\,ἕ,pronoun,proelqo/ntes,e)s,εἰς,preposition,to\,ὁ,article,*ou)olou/skwn,Οὐόλουσκος,proper,strato/pedon,στρατόπεδον,noun,*marki/w|,Μάρκιος,proper,ὁ,article,προέρχομαι,verb,meta\,μετά,preposition,*ou)olou/skwn,Οὐόλουσκος,proper,a)krowme/nw|,ἀκροάομαι,verb,prou/teinan,προτείνω,verb,a)mnhsti/an,ἀμνηστία,noun,kai\,καί,conjunction,ka/qodon,κάθοδος,noun,ei),εἰ,conjunction,katalu/sei,καταλύω,verb,to\n,ὁ,article,po/lemon,πόλεμος,noun,th=s,ὁ,article,te,τε,particle,boulh=s,βουλεύς,noun,au)to\n,αὐτός,pronoun,u(pemi/mnhskon,ὑπομιμνήσκω,verb,w(s,ὡς,conjunction,ou)x,οὐ,adverb,a(martou/shs,ἁμαρτάνω,verb,e)s,εἰς,preposition,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,polla\,πολύς,adjective,tou=,ὁ,article,dh/mou,δῆμος,noun,kathgorh/sas,κατηγορέω,verb,peri\,περί,preposition,w(=n,ὅς,pronoun,e)s,εἰς,preposition,au)to\n,αὐτός,pronoun,kai\,*ou)olou/skous,Οὐόλουσκος,proper,e)chmarth/kesan,ἐξαμαρτάνω,verb,e)phgge/lleto,ἐπαγγέλλω,verb,o(/mws,ὅμως,conjunction,*ou)olou/skous,Οὐόλουσκος,proper,ὁ,article,καί,conjunction,au)toi=s,αὐτός,pronoun,dialla/cein,διαλλάσσω,verb,a)\n,ἄν,particle,h(/n,ὅς,pronoun,te,τε,particle,gh=n,γῆ,noun,e)/xousi,ἔχω,verb,*ou)olou/skwn,Οὐόλουσκος,proper,kai\,καί,conjunction,ta\s,ὁ,article,po/leis,πόλις,adjective,a)podw=si,ἀποδέω,verb,kai\,καί,conjunction,poih/swntai,ποιέω,verb,poli/tas,πολίτης,noun,w(/sper,ὥσπερ,adverb,*lati/nous,Λατῖνος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/ws,d',δέ,particle,a)\n,ἄν,particle,e)/xwsi,ἔχω,verb,ta\,ὁ,article,tw=n,ὁ,article,kratou/ntwn,κρατέω,verb,oi(,ἕ,pronoun,kratou/menoi,κρατέω,verb,ou)x,οὐ,adverb,o(ra=n,ti/nes,τίς,pronoun,au)toi=s,αὐτός,pronoun,e)/sontai,εἰμί,verb,dialu/seis,διάλυσις,noun,,,,ἕως,conjunction,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,metoi/sontas,μεταφέρω,verb,a)pe/lue,ἀπολύω,verb,tou\s,ὁ,article,pre/sbeis,πρέσβις,noun,kai\,καί,conjunction,tria/konta,τριάκοντα,noun,h(me/ras,ἡμέρα,noun,e)s,εἰς,preposition,th\n,ὁ,article,ske/yin,e)di/dou,δίδωμι,verb,,,,,,,,,,,,,οὗτος,pronoun,σκέψις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trapei\s,d',δέ,particle,e)pi\,ἐπί,preposition,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,*lati/nous,Λατῖνος,proper,e(pta\,ἑπτά,noun,po/leis,πόλις,adjective,au)tw=n,αὐτός,pronoun,ei(=le,αἱρέω,verb,tai=s,tria/konta,τριάκοντα,noun,h(me/rais,ἡμέρα,noun,kai\,καί,conjunction,h(=ken,ἥκω,verb,e)pi\,ἐπί,preposition,τέρπω,verb,ὁ,article,ta\s,ὁ,article,a)pokri/seis,ἀπόκρισις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,de\,δέ,particle,a)pekri/nanto,ἀποκρίνω,verb,e)a\n,ἐάν,conjunction,e)k,ἐκ,preposition,th=s,ὁ,article,*(rwmai/wn,,,gh=s,γῆ,noun,a)paga/gh|,ἀπάγω,verb,to\n,ὁ,article,strato/n,pe/myein,πέμπω,verb,tou\s,ὁ,article,sunqhsome/nous,συνθέω,verb,au)tw=|,αὐτός,pronoun,ta\,ὁ,article,ὁ,article,στρατός,noun,pre/ponta,πρέπων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/lin,d',δέ,particle,a)nteipo/ntos,ἀντεῖπον,verb,e)/pempon,πέμπω,verb,e(te/rous,ἕτερος,adjective,de/ka,δέκα,verb,dehsome/nous,δέω,verb,mhde\n,μηδείς,pronoun,a)na/cion,ἀνάξιος,adjective,poiei=n,ποιέω,verb,th=s,patri/dos,πατρίς,adjective,mhd',μηδέ,particle,e)c,ἐκ,preposition,e)pita/gmatos,ἐπίταγμα,noun,a)ll',ἀλλά,adverb,πάλιν,adverb,ὁ,article,e(kousi/ous,ἑκούσιος,adjective,e)a=n,ἀίω,verb,gi/gnesqai,γίγνομαι,verb,ta\s,ὁ,article,sunqh/kas,συνθήκη,noun,ai)dou/meno/n,αἰδέομαι,verb,te,τε,particle,th\n,ὁ,article,patri/da,πατρίς,adjective,kai\,καί,conjunction,to\,ὁ,article,tw=n,ὁ,article,progo/nwn,πρόγονος,adjective,a)ci/wma,ἀξίωμα,noun,timw=nta,τιμάω,verb,tw=n,ὁ,article,e)s,εἰς,preposition,au)to\n,αὐτός,pronoun,ou)x,οὐ,adverb,a(marto/ntwn,ἁμαρτάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,tosou=ton,τοσοῦτος,adjective,au)toi=s,αὐτός,pronoun,a)pekri/nato,ἀποκρίνω,verb,triw=n,τρεῖς,noun,a)/llwn,ἄλλος,adjective,h(merw=n,ἡμέρα,noun,h(/kein,ἥκω,verb,bouleusame/nous,βουλεύω,verb,ti,ka/llion,κάλλιον,adverb,,,,,,,,,,,,,ὁ,article,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,me\n,μέν,particle,dh\,δή,particle,tou\s,ὁ,article,i(ere/as,ἱέρεια,noun,e)/pempon,πέμπω,verb,tai=s,ὁ,article,i(erai=s,ἱερός,adjective,e)sqh=sin,ἔσθος,noun,e)stalme/nous,στέλλω,verb,tau)ta\,tou=,ὁ,article,*marki/ou,Μάρκιος,proper,dehsome/nous,δέω,verb,,,,,,,ὁ,article,ταυτός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,kai\,καί,conjunction,tou/tois,οὗτος,pronoun,e)/fh,φημί,verb,dei=n,δέω,verb,h)\,ἠέ,conjunction,ta\,ὁ,article,keleuo/mena,κελεύω,verb,poiei=n,ποιέω,verb,h)\,mhd',μηδέ,particle,au)=,αὖ,interjection,a)fiknei=sqai,ἀφικνέομαι,verb,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,ὁ,article,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,ou)=n,οὖν,particle,poliorki/an,πολιορκία,noun,kaqi/stanto,καθίστημι,verb,kai\,καί,conjunction,to\,ὁ,article,tei=xos,τεῖχος,noun,e)plh/roun,πληρόω,verb,li/qwn,λίθος,adjective,kai\,καί,conjunction,belw=n,w(s,ὡς,conjunction,a)/nwqen,ἄνωθεν,adverb,a)munou/menoi,ἀμύνω,verb,*ma/rkion,Μάρκιος,proper,,,,εἰς,preposition,βέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou)aleri/a,d',δέ,particle,h(,ὁ,article,*popliko/la,Ποπλικόλη,proper,quga/thr,θυγάτηρ,adjective,polla\s,πολύς,adjective,a)gome/nh,ἄγω,verb,gunai=kas,γυνή,noun,e)pi/,ἐπί,preposition,te,τε,particle,th\n,mhte/ra,μήτηρ,noun,tou=,ὁ,article,*marki/ou,Μάρκιος,proper,*ou)etouri/an,,,kai\,καί,conjunction,,,ὁ,article,e)pi\,ἐπί,preposition,th\n,ὁ,article,gunai=ka,γυνή,noun,*ou)oloumni/an,,,pe/nqima,πένθιμος,adjective,h)mfiesme/nai,ἀμφαμφιέννυμι,verb,pa=sai,πᾶς,adjective,kai\,καί,conjunction,ta\,ὁ,article,paidi/a,παιδία,noun,tai=s,ὁ,article,i(kesi/ais,ἱκεσία,noun,e)pife/rousai,ἐπιφέρω,verb,sunecelqei=n,συνεξέρχομαι,verb,au(tai=s,ἑαυτοῦ,pronoun,pro\s,πρός,preposition,*ma/rkion,Μάρκιος,proper,h)ci/oun,ἀξιόω,verb,au)ta/s,αὐτός,pronoun,kai\,καί,conjunction,dehqh=nai,δέω,verb,fei/sasqai,φείδομαι,verb,sfw=n,σφεῖς,pronoun,te,τε,particle,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,th=s,ὁ,article,patri/dos,πατρίς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,me\n,μέν,particle,dh\,δή,particle,th=s,ὁ,article,boulh=s,βουλεύς,noun,e)pitrepou/shs,ἐπιτρέπω,verb,e)ch/|esan,ἔξειμι,verb,mo/nai,μόνος,adjective,gunai=kes,γυνή,noun,e)s,εἰς,preposition,e)xqrw=n,strato/pedon,στρατόπεδον,noun,,,,,,,,,,,,,ὁ,article,ἐχθρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,*ma/rkios,Μάρκιος,proper,qauma/zwn,θαυμάζω,verb,th=s,ὁ,article,eu)tolmi/as,εὐτολμία,noun,th\n,ὁ,article,po/lin,πόλις,adjective,oi(=a,οἷος,adjective,*(rwmai/wn,,,e)sti\,kai\,καί,conjunction,ta\,ὁ,article,gu/naia,γύναιον,noun,prosiou/sais,πρόσειμι,verb,a)ph/nta,ἀπαντάω,verb,ὁ,article,εἰμί,verb,kai\,καί,conjunction,ta\s,ὁ,article,r(a/bdous,ῥάβδος,noun,kaqh/|rei,καθαιρέω,verb,kai\,καί,conjunction,tou\s,ὁ,article,pele/keas,πέλεκυς,adjective,dia\,διά,preposition,th\n,ὁ,article,mhte/ra,μήτηρ,noun,prosdramw/n,προστρέχω,verb,te,τε,particle,h)spa/zeto,ἀσπάζομαι,verb,kai\,καί,conjunction,h)=gen,ἄγω,verb,e)pi\,ἐπί,preposition,to\,ὁ,article,sune/drion,συνέδριον,noun,tw=n,ὁ,article,*ou)olou/skwn,Οὐόλουσκος,proper,kai\,καί,conjunction,le/gein,λέγω,verb,e)ke/leusen,κελεύω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,xrh/|zoi,χρῄζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,de\,δέ,particle,sunhdikh=sqai,συναδικέω,verb,me\n,μέν,particle,e)celaunome/nw|,ἐξελαύνω,verb,th=s,ὁ,article,po/lews,πόλις,adjective,mh/thr,μήτηρ,noun,ou)=sa,εἰμί,verb,e)/fh,φημί,verb,o(ra=n,d',δέ,particle,o(/ti,ὅστις,pronoun,*(rwmai=oi,,,polla\,πολύς,adjective,pro\s,πρός,preposition,ὁ,article,ὁράω,verb,au)tou=,αὐτός,pronoun,pepo/nqasin,πάσχω,verb,h)/dh,ἤδη,adverb,kai\,καί,conjunction,ti/sin,τίσις,adjective,e)/tisan,τίνω,verb,i(kanh/n,ἱκανός,adjective,w(=n,ὅς,pronoun,xw/ra,χώρα,noun,te,τε,particle,tosau/th,τοσοῦτος,adjective,die/fqartai,διαφθείρω,verb,kai\,καί,conjunction,po/leis,πόλις,adjective,a)polw/lasi,ἀπόλλυμι,verb,pollai/,πολύς,adjective,kai\,καί,conjunction,to\,ὁ,article,*(rwmai/ois,,,e)/sxaton,σχέθω,verb,parakalou=si,παρακαλέω,verb,kai\,καί,conjunction,pre/sbeis,πρέσβις,noun,pe/mpousin,πέμπω,verb,u(pa/tous,ὕπατος,adjective,kai\,καί,conjunction,i(ere/as,ἱέρεια,noun,kai\,καί,conjunction,mhte/ra,μήτηρ,noun,kai\,καί,conjunction,gunai=ka,γυνή,noun,to/,ὁ,article,te,τε,particle,a)di/khma,ἀδίκημα,noun,i)w=ntai,ἰάομαι,verb,a)mnhsti/a|,ἀμνηστία,noun,kai\,καί,conjunction,kaqo/dw|,κάθοδος,noun,,,,,,,,,,,,
su\,de\,δέ,particle,mh\,μή,conjunction,a)nia/tw|,ἀνίατος,adjective,kakw=|,κακός,adjective,to\,ὁ,article,kako\n,κακός,adjective,i)w=,ἰός,adjective,mhde\,μηδέ,particle,sumforai=s,συμφορά,noun,e)pixei/rei,koinai=s,κοινός,adjective,au)tou=,αὐτός,pronoun,te,τε,particle,sou=,σύ,pronoun,kai\,καί,conjunction,σύ,pronoun,ἐπιχειρέω,verb,tw=n,ὁ,article,a)dikou/ntwn,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
