word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
poi=,fe/rwn,φέρω,verb,oi)/seis,φέρω,verb,to\,ὁ,article,pu=r,πῦρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ποι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,th\n,ὁ,article,xw/ran,χώρα,noun,e)pi\,ἐπί,preposition,th\n,ὁ,article,po/lin,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,th\n,ὁ,article,po/lin,πόλις,adjective,e)pi\,ἐπί,preposition,th\n,ὁ,article,e(sti/an,ἑστία,noun,th\n,ὁ,article,sh/n,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,th\n,ὁ,article,e(sti/an,ἑστία,noun,e)pi\,ἐπί,preposition,ta\,ὁ,article,i(era/,ἱερά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do\s,xa/rin,χάρις,noun,w)=,ὦ,interjection,pai=,παῖς,adjective,ka)moi\,ἐγώ,pronoun,kai\,καί,conjunction,th=|,ὁ,article,patri/di,πατρίς,adjective,parakalou/sais,παρακαλέω,verb,,,,,,,,,,,,,,,,,,,,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,me\n,μέν,particle,dh\,δή,particle,tosau=ta,τοσοῦτος,adjective,ei)=pen,εἶπον,verb,o(,ὁ,article,de\,δέ,particle,*ma/rkios,Μάρκιος,proper,ou)k,οὐ,adverb,ei)/a,ἀίω,verb,patri/da,kalei=n,καλέω,verb,th\n,ὁ,article,e)kbalou=san,ἐκβάλλω,verb,a)lla\,ἀλλά,adverb,th\n,ὁ,article,ὁ,article,πατρίς,adjective,u(podedegme/nhn,ὑποδέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\n,ga\r,γάρ,particle,ei)=nai,εἰμί,verb,fi/lion,φίλιος,adjective,a)\n,ἄν,particle,a)dikh=|,ἀδικέω,verb,ou)de\,οὐδέ,particle,e)xqro\n,ἐχθρός,adjective,eu)=,εὖ,adverb,poiou=n,ποιέω,verb,,,,,,,,,,,,,,,,,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,to\,ὁ,article,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,e)ke/leuen,κελεύω,verb,o(ra=n,ὁράω,verb,pi/stin,πίστις,noun,te,τε,particle,do/ntwn,δίδωμι,verb,au)tw=|,αὐτός,pronoun,kai\,labo/ntwn,λαμβάνω,verb,kai\,καί,conjunction,poli/thn,πολίτης,noun,pepoihme/nwn,ποιέω,verb,kai\,καί,conjunction,καί,conjunction,καί,conjunction,strathgo\n,στρατηγός,noun,a)pofhna/ntwn,ἀποφαίνω,verb,kai\,καί,conjunction,ta\,ὁ,article,i)/dia,ἴδιος,adjective,e)pitreya/ntwn,ἐπιτρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tima/s,te,τε,particle,o(/swn,ὅσος,adjective,h)ci/wto,ἀξιόω,verb,kai\,καί,conjunction,o(/rkous,ὅρκος,noun,ou(\s,ὅς,pronoun,w)/mosen,ὄμνυμι,verb,au)toi=s,αὐτός,pronoun,e)pech/|ei,ἐπέξειμι,verb,kai\,pareka/lei,παρακαλέω,verb,th\n,ὁ,article,mhte/ra,μήτηρ,noun,tou\s,ὁ,article,au)tou\s,αὐτός,pronoun,τιμή,noun,καί,conjunction,e)kei/nois,ἐκεῖνος,pronoun,ti/qesqai,τίθημι,verb,polemi/ous,πολέμιος,adjective,kai\,καί,conjunction,fi/lous,φῖλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,de\,δέ,particle,e)/ti,ἔτι,adverb,le/gontos,λέγω,verb,a)ganakth/sasa,ἀγανακτέω,verb,kai\,καί,conjunction,ta\s,ὁ,article,xei=ras,χείρ,noun,e)s,εἰς,preposition,to\n,ὁ,article,ou)rano\n,a)nasxou=sa,ἀνέχω,verb,qeou\s,θεός,noun,geneqli/ous,γενέθλιος,adjective,e)martu/rato,μαρτύρομαι,verb,du/o,δύο,adjective,ὁ,article,οὐρανός,noun,me\n,μέν,particle,h)/dh,ἤδη,adverb,presbei/as,πρέσβεια,noun,gunaikw=n,γυνή,noun,a)po\,ἀπό,preposition,*(rw/mhs,,,e)n,ἐν,preposition,mega/lois,μέγας,adverb,e)sta/lqai,στέλλω,verb,kakoi=s,κακός,adjective,e)pi\,ἐπί,preposition,*tati/ou,,,basile/ws,βασιλεύς,noun,kai\,καί,conjunction,*gai/+ou,Γαῗος,proper,*marki/ou,Μάρκιος,proper,tou/toin,οὗτος,pronoun,de\,δέ,particle,*ta/tion,,,me/n,μέν,particle,o)/nta,εἰμί,verb,ce/non,ξένος,noun,kai\,καί,conjunction,a)lhqh=,ἀληθής,adjective,pole/mion,πολέμιος,adjective,e)ndou=nai,ἐνδίδωμι,verb,tai=s,ὁ,article,gunaici\n,γυνή,noun,ai)dou/menon,αἰδέομαι,verb,*ma/rkion,Μάρκιος,proper,d',δέ,particle,u(perora=n,ὑπεροράω,verb,presbei/as,πρέσβεια,noun,gunaikw=n,γυνή,noun,tosw=nde,τοσόσδε,adjective,kai\,καί,conjunction,th=s,ὁ,article,gegamhme/nhs,γαμέω,verb,kai\,καί,conjunction,mhtro\s,μήτηρ,noun,e)pi\,ἐπί,preposition,tau/tais,οὗτος,pronoun
a)/llh,me\n,μέν,particle,ou)=n,οὖν,particle,e)/fh,φημί,verb,mhdemi/a,μηδείς,pronoun,mh/thr,μήτηρ,noun,a)tuxou=sa,ἀτυχέω,verb,paido/s,παῖς,adjective,e)s,εἰς,preposition,a)na/gkhn,ἀνάγκη,noun,a)fi/koito,prospesei=n,προσπίτνω,verb,au)tw=|,αὐτός,pronoun,,,,,,,,,,ἄλλος,adjective,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,de\,δέ,particle,kai\,καί,conjunction,tou=to,οὗτος,pronoun,u(fi/stamai,ὑφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prokuli/somai/,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,προκυλίνδομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,le/gousa,λέγω,verb,e)s,εἰς,preposition,to\,ὁ,article,e)/dafos,ἔδαφος,noun,e(auth\n,ἑαυτοῦ,pronoun,e)rri/ptei,ῥίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,e)da/kruse/,δακρύω,verb,te,τε,particle,kai\,καί,conjunction,a)neph/da,ἀναπηδάω,verb,kai\,καί,conjunction,a)ntei/xeto,ἀντέχω,verb,au)th=s,αὐτός,pronoun,u(po/,ὑπό,preposition,te,tou=,ὁ,article,pa/qous,πάθος,adjective,e)cefw/nhse,ἐκφωνέω,verb,nika=|s,νικάω,verb,w)=,ὦ,interjection,ὁ,article,τε,particle,mh=ter,μήτηρ,noun,a)lla\,ἀλλά,adverb,ni/khn,νίκη,noun,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,to\n,ὁ,article,ui(o\n,υἱός,noun,a)polei=s,ἀπόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,ei)pw\n,εἶπον,verb,a)ph=ge,ἀπάγω,verb,th=n,,,stratia\n,στρατία,noun,w(s,ὡς,conjunction,lo/gon,λόγος,noun,a)podw/swn,ἀποδίδωμι,verb,*ou)olou/skois,Οὐόλουσκος,proper,kai\,καί,conjunction,ta\,e)/qnh,ἔθνος,adjective,sunalla/cwn,συναλλάσσω,verb,,,,,,,,,,οὗτος,pronoun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lpi/s,te,τε,particle,h)=n,εἰμί,verb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,pei/sei,πάσχω,verb,*ou)olou/skous,Οὐόλουσκος,proper,,,,,,,,,,,,,,,,,,,,,,,ἐλπίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kateleu/sqh,de\,δέ,particle,fqonou/menos,φθονέω,verb,para\,παρά,preposition,tou=,ὁ,article,strathgou=,στρατηγός,noun,*)atti/ou,,,,,,,,,,,,,,,,,,,,,,,,,,,,καταλεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,*ma/rkios,Μάρκιος,proper,a)ntile/gein,ἀντιλέγω,verb,me\n,μέν,particle,pro\s,πρός,preposition,ou)de\,οὐδέ,particle,e(\n,εἷς,adjective,au)tw=n,αὐτός,pronoun,e)dikai/ou,δικαιόω,verb,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)leeinoi\,tou=,ὁ,article,pa/qous,πάθος,adjective,a)cie/painoi,ἀξιέπαινος,adjective,th=s,ὁ,article,a)reth=s,ἀρετή,noun,geno/menoi,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,ἐλεεινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/ga,ga\r,γάρ,particle,tou=to,οὗτος,pronoun,*(rwmai/ois,,,pa/qos,πάθος,adjective,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,plh/qous,πλῆθος,noun,e(/neka,ἕνεκα,preposition,kai\,καί,conjunction,a)ciw/matos,eu)genou=s,εὐγενής,adjective,oi)/kou,οἶκος,noun,kai\,καί,conjunction,panwleqri/as,πανωλεθρία,noun,,,,μέγας,adverb,ἀξίωμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,th\n,ὁ,article,h(me/ran,ἡμέρα,noun,a)pofra/da,ἀποφράς,noun,ti/qentai,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,de\,δέ,particle,strathgw=|,στρατηγός,noun,strato\s,στρατός,noun,h)=n,εἰμί,verb,duspeiqh\s,δυσπειθής,adverb,u(po\,ὑπό,preposition,mnhsikaki/as,μνησικακία,noun,e)qeloka/kws,ἐθελόκακος,adjective,te,τε,particle,h)gwni/zonto,kai\,καί,conjunction,e)/feugon,φεύγω,verb,e)pidhsa/menoi,ἐπιδέω,verb,ta\,ὁ,article,sw/mata,σῶμα,adjective,ὁ,article,ἀγωνίζομαι,verb,w(s,ὡς,conjunction,tetrwme/noi,τιτρώσκω,verb,kai\,καί,conjunction,ta\s,ὁ,article,skhna\s,σκηνή,noun,die/luon,διαλύω,verb,kai\,καί,conjunction,a)naxwrei=n,ἀναχωρέω,verb,e)pexei/roun,ἐπιχειρέω,verb,a)peiri/an,ἀπειρία,noun,e)pikalou=ntes,ἐπικαλέω,verb,tw=|,ὁ,article,strathgw=|,στρατηγός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,shmeiwn,,,genomenwn,,,e)k,ἐκ,preposition,*dio\s,Ζεύς,proper,a)hdw=n,ἀηδής,adjective,meta\,μετά,preposition,th\n,ὁ,article,*ou)hienti/as,,,a(/lwsin,ἅλων,noun,oi(,ma/nteis,μάντις,noun,e)/legon,λέγω,verb,e)kleifqh=nai/,ἐκλείπω,verb,tina,τις,pronoun,pro\s,πρός,preposition,ὅστις,pronoun,ὁ,article,eu)se/beian,εὐσέβεια,noun,kai\,καί,conjunction,o(,ὁ,article,*ka/millos,,,a)nh/negken,ἀναφέρω,verb,o(/ti,ὅστις,pronoun,th\n,ὁ,article,deka/thn,δεκάτη,noun,th=s,ὁ,article,lei/as,λεία,noun,e)kla/qoito,ἐκλανθάνω,verb,tw=|,ὁ,article,qew=|,θεός,noun,tw=|,ὁ,article,xrh/santi,χράω,verb,peri\,περί,preposition,th=s,ὁ,article,li/mnhs,λίμνη,noun,e)cele/sqai,ἐξαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,me\n,μέν,particle,ou)=n,οὖν,particle,boulh\,βουλή,noun,tou\s,ὁ,article,labo/ntas,λαμβάνω,verb,o(tiou=n,ὁτιοῦν,adverb,e)k,ἐκ,preposition,th=s,ὁ,article,*ou)hie/nths,,,e)ke/leusen,a)potimh/sasqai,ἀποτιμάω,verb,kaq',κατά,preposition,au(tou\s,ἑαυτοῦ,pronoun,kai\,καί,conjunction,su\n,σύν,preposition,ὁ,article,κελεύω,verb,o(/rkw|,ὅρκος,noun,to\,ὁ,article,de/katon,δέκατος,adjective,ei)senegkei=n,εἰσφέρω,verb,u(po\,ὑπό,preposition,de\,δέ,particle,eu)sebei/as,εὐσέβεια,noun,ou)k,οὐ,adverb,w)/knhse,ὀκνέω,verb,kai\,καί,conjunction,th=s,ὁ,article,gh=s,γῆ,noun,h)/dh,ἤδη,adverb,peprame/nhs,πιπράσκω,verb,w(s,ὡς,conjunction,lafu/rou,λάφυρα,adjective,to\,ὁ,article,de/katon,δέκατος,adjective,a)naqei=nai,ἀνατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krath/r,te,τε,particle,a)po\,ἀπό,preposition,tw=nde,ὅδε,pronoun,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,e)n,ἐν,preposition,*delfoi=s,Δελφοί,proper,e)/keito,κεῖμαι,verb,xru/seos,χρύσεος,adjective,e)pi\,xalkh=s,χάλκεος,adjective,ba/sews,βάσις,adjective,e)n,ἐν,preposition,tw=|,ὁ,article,*(rwmai/wn,,,κρατήρ,noun,ἐπί,preposition,kai\,καί,conjunction,*massalihtw=n,Μασσαλία,proper,qhsaurw=|,θησαυρός,noun,me/xri,μέχρι,preposition,to\n,ὁ,article,me\n,μέν,particle,xruso\n,χρυσός,noun,*)ono/marxos,Ὀνόμαρχος,proper,e)n,ἐν,preposition,tw=|,ὁ,article,*fwkikw=|,Φωκικός,adjective,pole/mw|,πόλεμος,noun,katexw/neuse,καταχωνεύω,verb,kei=tai,κέω,verb,d',δέ,particle,h(,ὁ,article,ba/sis,βάσις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to\n,de\,δέ,particle,*ka/millon,,,e)n,ἐν,preposition,tw=|,ὁ,article,dh/mw|,δῆμος,noun,tis,τις,pronoun,e)diwken,,,w(s,ὡς,conjunction,ai)/tion,αἴτιος,adjective,gegono/ta,th=|,ὁ,article,po/lei,πόλις,adjective,fasma/twn,φάσμα,adjective,kai\,καί,conjunction,tera/twn,τέρας,noun,αὐτός,pronoun,γίγνομαι,verb,xalepw=n,χαλεπός,adjective,kai\,καί,conjunction,o(,ὁ,article,dh=mos,δῆμος,noun,e)k,ἐκ,preposition,pollou=,πολύς,adjective,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,a)postrefo/menos,ἀποστρέφω,verb,e)zhmi/wse,ζημιόω,verb,penth/konta,πεντήκοντα,verb,muria/sin,μυριάς,noun,ou)k,οὐ,adverb,e)piklasqei\s,ἐπικλάω,verb,ou)d',οὐδέ,particle,o(/ti,ὅστις,pronoun,pro\,πρό,preposition,th=s,ὁ,article,di/khs,δίκη,adjective,au)tw=|,αὐτός,pronoun,pai=s,πᾶς,adjective,e)teqnh/kei,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,me\n,μέν,particle,ou)=n,οὖν,particle,xrh/mata,χρῆμα,adjective,oi(,ὁ,article,fi/loi,φίλος,adjective,suneish/negkan,συνεισφέρω,verb,i(/na,ἵνα,conjunction,mh\,μή,conjunction,u(brisqei/h,ὑβρίζω,verb,to\,sw=ma,σῶμα,adjective,tou=,ὁ,article,*kami/llou,,,,,,,,,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to\s,de\,δέ,particle,baruqumw=n,βαρυθυμέω,verb,e)s,εἰς,preposition,th\n,ὁ,article,*)ardeatw=n,,,po/lin,πόλις,adjective,metw/|khsen,μετοικέω,verb,eu)ca/menos,εὔχομαι,verb,th\n,ὁ,article,*)axi/lleion,eu)xh/n,εὐχή,noun,e)pipoqh=sai,ἐπιποθέω,verb,*(rwmai/ous,,,*ka/millon,,,e)n,ἐν,preposition,αὐτός,pronoun,Ἀχίλλειος,proper,kairw=|,καιρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,a)ph/nthsen,ἀπαντάω,verb,au)tw=|,αὐτός,pronoun,kai\,καί,conjunction,to/de,ὅδε,pronoun,ou),οὐ,adverb,polu\,πολύς,adjective,u(/steron,ὕστερος,adjective,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*keltw=n,ga\r,γάρ,particle,th\n,ὁ,article,po/lin,πόλις,adjective,katalabo/ntwn,καταλαμβάνω,verb,o(,ὁ,article,dh=mos,δῆμος,noun,e)pi\,ἐπί,preposition,*ka/millon,,,kate/fuge,καταφεύγω,verb,kai\,dikta/tora,δικτάτωρ,noun,au)=qis,αὖθις,adverb,ei(/leto,αἱρέω,verb,w(s,ὡς,conjunction,e)n,ἐν,preposition,Κελτός,proper,καί,conjunction,tai=s,ὁ,article,*keltikai=s,Κελτικός,adjective,pra/cesi,πρᾶξις,adjective,sugge/graptai,συγγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,*ma/rkos,Μάρκος,proper,*ma/llios,Μάλλιος,proper,eu)patri/dhs,εὐπατρίδης,noun,*keltw=n,Κελτός,proper,e)pelqo/ntwn,ἐπέρχομαι,verb,th=|,ὁ,article,*(rw/mh|,,,tau/thn,οὗτος,pronoun,perie/swse,περισώζω,verb,kai\,timw=n,τιμάω,verb,megi/stwn,μέγας,adverb,h)ciw/qh,ἀξιόω,verb,,,,,,,ὅστις,pronoun,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/steron,de\,δέ,particle,presbu/thn,πρεσβύτης,noun,polla/kis,πολλάκις,adverb,e)strateume/non,στρατεύω,verb,a)go/menon,ἄγω,verb,e)s,εἰς,preposition,doulei/an,δουλεία,noun,u(po\,ὑπό,preposition,tou=,ὁ,article,daneistou=,gnwri/sas,γνωρίζω,verb,a)pe/dwke,ἀποδίδωμι,verb,to\,ὁ,article,xre/os,χρέος,noun,u(pe\r,ὑπέρ,preposition,ὕστερος,adjective,δανειστής,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tw=|de,ὅδε,pronoun,eu)fhmou/menos,εὐφημέω,verb,pa=sin,πᾶς,adjective,h)fi/ei,ἀφίημι,verb,toi=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,xrh/stais,χρήστης,adjective,ta\,ὁ,article,o)flh/mata,ὄφλημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proi+w\n,de\,δέ,particle,th=|,ὁ,article,do/ch|,δόξα,noun,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,a)/llwn,ἄλλος,adjective,a)pedi/dou,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,πρόειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,tai=s,ὁ,article,dhmokopi/ais,δημοκοπία,noun,e)pairo/menos,ἐπαίρω,verb,e)bou/leusen,βουλεύω,verb,h)/dh,ἤδη,adverb,xrew=n,χρέα,adjective,a)pokopa\s,ἀποκοπή,noun,koina/s,κοινός,adjective,h)\,ἠέ,conjunction,to\n,dh=mon,δῆμος,noun,h)ci/ou,ἀξιόω,verb,toi=s,ὁ,article,danei/sasin,δανείζω,verb,a)podou=nai,ἀποδίδωμι,verb,καί,conjunction,ὁ,article,th\n,ὁ,article,gh=n,γῆ,noun,e)s,εἰς,preposition,tou=to,οὗτος,pronoun,a)podo/menon,ἀποδίδωμι,verb,e)/ti,ἔτι,adverb,ou)=san,εἰμί,verb,a)ne/mhton,ἀνέμητος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
