word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
cei=nos,ξένος,noun,*)atarnei/ths,tis,τις,pronoun,a)nh/reto,ἀναίρω,verb,*pittako\n,Πιττακός,adjective,ou(/tw,οὕτως,adverb,to\n,ὁ,article,*mutilhnai=on,Μυτιληναῖος,proper,pai=da,παῖς,adjective,to\n,ὁ,article,*(urra/dion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'a)/tta,ἄττα,interjection,ge/ron,doio/s,,,me,ἐγώ,pronoun,kalei=,καλέω,verb,ga/mos,γάμος,adjective,,,,,,,,,,,,,,γέρων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,mi/a,me\n,μέν,particle,dh/,δή,particle,nu/mfh,νύμφη,noun,kai\,καί,conjunction,plou/twi,πλοῦτος,noun,kai\,καί,conjunction,geneh=i,γενεά,noun,kat',κατά,preposition,e)me/,εἷς,adjective,ἐγώ,pronoun,h(,ὁ,article,d',δέ,particle,e(te/rh,ἕτερος,adjective,probe/bhke,προβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,lw/ion,,,,,,,,,,,,,,,,,,,,,,,,,,λωίων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',a)/ge,ἄγε,adverb,su/m,,,moi,ἐγώ,pronoun,bou/leuson,βουλεύω,verb,pote/rhn,πότερος,adjective,ei)s,εἰς,preposition,u(me/naion,ὑμέναιος,noun,a)/gw',ἄγαμαι,verb,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,ski/pwna,σκίπων,noun,gerontiko\n,γεροντικός,adjective,o(/plon,ὅπλον,noun,a)ei/ras,ἀείρω,verb,'h)ni/de,ἤν,interjection,kei=noi/,ἐκεῖνος,pronoun,toi,τοι,particle,pa=n,πᾶς,adjective,e)re/ousin,δέ,particle,ἐρέω,verb,e)/pos',ἔπος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,d',a)/r',ἄρα,particle,u(po\,ὑπό,preposition,plhgh=isi,,,qoa\s,θοός,adjective,be/mbikas,βέμβιξ,noun,e)/xontes,ἔχω,verb,e)/strefon,στρέφω,verb,eu)rei/hi,,,pai=des,δέ,particle,παῖς,adjective,e)ni\,ἐν,preposition,trio/dwi,τρίοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'kei/nwn,ἐκεῖνος,pronoun,e)/rxeo',fhsi\,φημί,verb,'met',,,i)/xnia',ἴχνιον,noun,,,,,,,,,,,,,,,,,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw),ὁ,article,me\n,e)pe/sth,ἐφίστημι,verb,plhsi/on,πλησίος,adjective,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,d',e)/legon,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'th\n,ὁ,article,kata\,sauto\n,σαυτοῦ,pronoun,e)/la',ἐλαύνω,verb,,,,,,,,,,,,,,,,,,,,κατά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=t',οὗτος,pronoun,a)i/wn,d,,,cei=nos,ξένος,noun,e)\fei/sato,,,mei/zonos,μέγας,adverb,oi)/kou,οἶκος,noun,dra/casqai,δράσσομαι,verb,pai/dwn,παῖς,adjective,klhdo/ni,κληδών,noun,sunqe/menos,ἀίω,verb,συντίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,d',o)li/ghn,ὀλίγος,adjective,w(s,ὡς,conjunction,kei=nos,ἐκεῖνος,pronoun,e)s,εἰς,preposition,oi)ki/on,οἰκίον,noun,h)/geto,ἄγω,verb,nu/mfhn,νύμφη,noun,ou(/tw,οὕτως,adverb,kai\,δέ,particle,καί,conjunction,su/,σύ,pronoun,*di/wn,Δίος,proper,th\n,ὁ,article,kata\,κατά,preposition,sauto\n,σαυτοῦ,pronoun,e)/la,ἐλαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pe/,εἶπον,verb,tis,*(hra/kleite,Ἡράκλειτος,proper,teo\n,τεός,adjective,mo/ron,μόρον,noun,e)s,εἰς,preposition,de/,δέ,particle,me,ἐγώ,pronoun,da/kru,δάκρυον,noun,h)/gagen,ἄγω,verb,e)mnh/sqhn,τις,pronoun,μιμνήσκω,verb,d',δέ,particle,o(ssa/kis,,,a)mfo/teroi,ἀμφότερος,adjective,h(/lion,ἥλιος,noun,e)n,ἐν,preposition,le/sxhi,,,katedu/samen,καταδύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,su\,me/n,μέν,particle,pou,πού,adverb,cei=n',ξένος,noun,'*alikarnhseu=,,,tetra/palai,τετράπαλαι,adverb,spodih/,σποδιά,noun,,,,,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,teai\,τεός,adjective,zw/ousin,ζώω,verb,a)hdo/nes,ἀηδών,noun,h(=isin,ὅς,pronoun,o(,ὁ,article,pa/ntwn,πᾶς,adjective,a(rpakth\s,ἁρπακτής,noun,*)ai/dhs,Ἅιδης,proper,ou)k,δέ,particle,οὐ,adverb,e)pi\,ἐπί,preposition,xei=ra,χείρ,noun,balei=,βάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ti/mwn,Τίμων,proper,ou),ga\r,γάρ,particle,e)/t',ἔτι,adverb,e)ssi/,εἰμί,verb,ti/,τίς,pronoun,toi,τοι,particle,sko/tos,σκότος,noun,h)\,ἠέ,conjunction,fa/os,φάος,adjective,e)xqro/n,οὐ,adverb,ἐχθρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'to\,ὁ,article,sko/tos,,,,,,,,,,,,,,,,,,,,,,,,,,σκότος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(me/wn,σύ,pronoun,ga\r,plei/ones,πλείων,verb,ei)n,ἐν,preposition,*)ai/dhi',ἀείδω,verb,,,,,,,,,,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko/gxos,κόγχος,noun,e)gw\,*zefuri=ti,Ζεφυρῖτις,proper,pa/lai,πάλαι,adverb,te/ras,τέρας,noun,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,su\,nu=n,νῦν,adverb,me,ἐγώ,pronoun,*ku/pri,Κύπρις,proper,*selhnai/hs,σεληναῖος,adjective,a)/nqema,ἄνθεμα,noun,prw=ton,πρότερος,adjective,e)/xeis,ἔχω,verb,nauti/los,ναυτίλος,noun,o(\s,σύ,pronoun,ὅς,pronoun,pela/gessin,πέλαγος,noun,e)pe/pleon,ἐπιπλέω,verb,ei),εἰ,conjunction,me\n,μέν,particle,a)h=tai,ἀάω,verb,tei/nas,τείνω,verb,oi)kei/wn,οἰκεῖος,adjective,lai=fos,λαῖφος,noun,a)po\,ἀπό,preposition,proto/nwn,πρότονοι,noun,ei),εἰ,conjunction,de\,δέ,particle,*galhnai/h,γαληναίη,noun,liparh\,λιπαρός,adjective,qeo/s,θεός,noun,ou)=los,οὖλος,adjective,e)re/sswn,ἐρέσσω,verb,possi/,πούς,noun,nin,νιν,pronoun,w(/st',ὥστε,conjunction,e)/rgwi,ἔργον,noun,tou)/noma,ὄνομα,adjective,sumfe/retai,συμφέρω,verb,e)/st',ἔστε,conjunction,e)/peson,ἐφέζομαι,verb,para\,παρά,preposition,qi=nas,θίς,noun,*)iouli/das,ἰουλίς,adjective,o)/fra,ὄφρα,conjunction,ge/nwmai,γίγνομαι,verb,soi\,σύ,pronoun,to\,ὁ,article,peri/skepton,περίσκεπτος,adjective,pai/gnion,παίγνιον,noun,*)arsino/h,Ἀρσινόη,proper,mhde/,μηδέ,particle,moi,ἐγώ,pronoun,e)n,ἐν,preposition,qala/mhisin,e)/q',ἔτι,adverb,w(s,ὡς,conjunction,pa/ros,πάρος,preposition,ei)mi\,εἰμί,verb,ga\r,γάρ,particle,a)/pnous,ἄπνοος,adjective,ti/kthtai,τίκτω,verb,noterh=is',w)/eon,ὤεον,noun,a(lkuoni/s,ἀλκυονίς,noun
*kleini/ou,Κλεινίης,proper,a)lla\,qugatri\,θυγάτηρ,adjective,di/dou,δίδημι,verb,xa/rin,χάρις,noun,oi)=de,οἶδα,verb,ga\r,γάρ,particle,e)sqla/,ἐσθλός,adjective,r(e/zein,ῥέζω,verb,kai\,καί,conjunction,*smu/rnhs,ἀλλά,adverb,Σμύρνα,proper,e)sti\n,εἰμί,verb,a)p',ἀπό,preposition,*ai)oli/dos,Αἰολεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,*sami/ou,po/nos,πόνος,noun,ei)mi\,εἰμί,verb,do/mwi,δόμος,noun,pote\,ποτός,adjective,qei=on,θεῖος,adjective,a)oido/n,ἀοιδός,noun,,,,,,,,Σάμιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decame/nou,δέχομαι,verb,klei/w,d',δέ,particle,*eu)/ruton,Εὔρυτος,proper,o(/ss',ὅσος,adjective,e)/paqen,πάσχω,verb,kai\,καί,conjunction,canqh\n,ξανθός,adjective,*)io/leian,,,*(omh/reion,Ὁμήρειον,proper,de\,κλέω,verb,δέ,particle,kaleu=mai,καλέω,verb,gra/mma,γράμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*krewfu/lwi,,,*zeu=,fi/le,φίλος,adjective,tou=to,οὗτος,pronoun,me/ga,μέγας,adverb,,,,,,,,,,,,,,,,,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=lqe,ἔρχομαι,verb,*qeai/thtos,kaqarh\n,καθαρός,adjective,o(do/n,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,Θεαίτητος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',e)pi\,ἐπί,preposition,kisso/n,κισσός,noun,to\n,ὁ,article,teo\n,τεός,adjective,ou)x,οὐ,adverb,au(/th,οὗτος,pronoun,*ba/kxe,Βάκχος,proper,ke/leuqos,κέλευθος,noun,a)/gei,δέ,particle,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llwn,ἄλλος,adjective,me\n,kh/rukes,κῆρυξ,noun,e)pi\,ἐπί,preposition,braxu\n,βραχύς,adjective,ou)/noma,ὄνομα,adjective,kairo/n,καιρός,noun,fqe/gcontai,φθέγγομαι,verb,kei/nou,ἐκεῖνος,pronoun,d',δέ,particle,*(ella\s,μέν,particle,Ἑλλάς,proper,a)ei\,ἀεί,adverb,sofi/hn,σοφία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
