word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
mikrh/,μικρός,adjective,tis,*dio/nuse,Διόνυσος,proper,kala\,καλός,noun,prh/ssonti,πράσσω,verb,poihth=i,ποιητής,noun,r(h=sis,ῥῆσις,noun,,,,,,,,,,,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,me\n,'nikw=',νικάω,verb,fhsi\,φημί,verb,to\,ὁ,article,makro/taton,μακρός,adjective,w(=i,ὅς,pronoun,de\,δέ,particle,su\,σύ,pronoun,mh\,μή,conjunction,pneu/shis,μέν,particle,,,e)pide/cios,ἐπιδέξιος,adjective,h)/n,ἐάν,conjunction,tis,τις,pronoun,e)/rhtai,ἔρομαι,verb,'pw=s,πῶς,adverb,e)/bales',βάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fhsi/,φημί,verb,'sklhra\,ta\,ὁ,article,gigno/mena',γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,σκληρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=i,τίς,pronoun,mermhri/canti,ta\,τίς,pronoun,mh',,,ndika,,,tou=to,οὗτος,pronoun,ge/noito,γίγνομαι,verb,tou)=pos,ἔπος,adjective,,,,,,,,μερμηρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,d',w)=nac,ἄναξ,noun,h(,ὁ,article,braxusullabi/h,βραχυσυλλαβία,noun,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*th=ide,ὅδε,pronoun,*sa/wn,o(,ὁ,article,*di/kwnos,Δίκων,proper,*)aka/nqios,,,i(ero\n,ἱερός,adjective,u(/pnon,ὕπνον,noun,koima=tai,κοιμάω,verb,,,,,,,,Σάων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qnh/iskein,,,mh\,le/ge,λέγω,verb,tou\s,ὁ,article,a)gaqou/s,ἀγαθός,adjective,,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(hn,,,di/zhi,*ti/marxon,Τίμαρχος,proper,e)n,ἐν,preposition,*)/aidos,Αἵδης,proper,o)/fra,ὄφρα,conjunction,pu/qhai,πύθω,verb,h)/,ἠέ,conjunction,ti,τις,pronoun,peri\,περί,preposition,yuxh=s,,,ψυχή,noun,h)\,ἠέ,conjunction,pa/li,πάλιν,adverb,pw=s,πῶς,adverb,e)/seai,εἰμί,verb,di/zhsqai,δίζημαι,verb,fulh=s,φυλή,noun,*ptolemai/dos,Πτολεμαίς,proper,ui(e/a,υἱός,noun,patro/s,πατήρ,noun,*pausani/ou,Παυσανίης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh/eis,δήω,verb,d',au)to\n,αὐτός,pronoun,e)n,ἐν,preposition,eu)sebe/wn,εὐσεβής,adjective,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su/ntomos,σύντομος,adjective,h)=n,o(,ὁ,article,cei=nos,ξένος,noun,o(\,ὅς,pronoun,kai\,καί,conjunction,sti/xos,στίχος,adjective,ou),οὐ,adverb,makra\,μακρός,adjective,le/cwn,λέγω,verb,'*qh=ris,εἰμί,verb,,,*)aristai/ou,Ἀρισταῖος,proper,*krh/s',,,e)p',ἐπί,preposition,e)moi\,ἐγώ,pronoun,dolixo/s,δολιχός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ku/zikon,Κύζικος,proper,h)\n,e)/lqhis,ἔρχομαι,verb,o)li/gos,ὀλίγος,adjective,po/nos,πόνος,noun,*(ippako\n,,,eu(rei=n,εὑρίσκω,verb,kai\,καί,conjunction,*didu/mhn,Διδύμη,proper,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)fanh\s,ἀφανής,adjective,ou)/,ti,τις,pronoun,ga\r,γάρ,particle,h(,ὁ,article,geneh/,γενεά,noun,,,,,,,,,,,,,,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,sfin,a)nihro\n,ἀνιαρός,adjective,me\n,μέν,particle,e)rei=s,ἐρέω,verb,e)/pos,ἔπος,adjective,e)/mpa,ἔμπας,adverb,de\,δέ,particle,le/cai,λέγω,verb,tou=q',οὗτος,pronoun,o(/ti,σφεῖς,pronoun,ὅστις,pronoun,to\n,ὁ,article,kei/nwn,ἐκεῖνος,pronoun,w(=d',ὧδε,adverb,e)pe/xw,ἐπέχω,verb,*kriti/hn,Κριτίης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'*h,,,r(',u(po\,ὑπό,preposition,soi\,σύ,pronoun,*xari/das,,,a)napau/etai,ἀναπαύω,verb,,,,,,,,,,,,,,ἄρα,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'ei),εἰ,conjunction,to\n,*)ari/mma,,,tou=,ὁ,article,*kurhnai/ou,Κυρηναῖος,proper,pai=da,παῖς,adjective,le/geis,λέγω,verb,u(p',ὑπό,preposition,e)moi/',ἐμός,adjective,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*xari/da,ti/,τίς,pronoun,ta\,ὁ,article,ne/rqe,νέρθε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'polu\,πολύς,adjective,sko/tos',,,,,,,,,,,,,,,,,,,,,,,,,,σκότος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,d',a)/nodoi,ἄνοδος,noun,ti/,τίς,pronoun,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,*plou/twn,Πλούτων,proper,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'ou(=tos,οὗτος,pronoun,e)mo\s,lo/gos,λόγος,noun,u)/mmin,σύ,pronoun,a)lhqino/s,ἀληθινός,adjective,,,,,,,,,,,,,,,,,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,to\n,ὁ,article,h(du/n,ἡδύς,adjective,bou/lei,βούλομαι,verb,*pellai/ou,πελλαῖος,adjective,bou=s,βοῦς,noun,me/gas,μέγας,adverb,ei)n,ἐν,preposition,*)ai/dhi,Ἅιδης,proper,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai/mona,δαίμων,adjective,ti/s,d',δέ,particle,eu)=,εὖ,adverb,oi)=de,οἶδα,verb,to\n,ὁ,article,*au)/rion,αὔριον,adverb,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(ni/ka,ἡνίκα,adverb,kai\,de/,δέ,particle,*xa/rmi,Χάρμις,proper,to\n,ὁ,article,o)fqalmoi=s,ὀφθαλμός,noun,xqizo\n,χθιζός,adjective,e)n,ἐν,preposition,a(mete/rois,ἡμέτερος,adjective,ta=i,ὁ,article,e(te/rai,καί,conjunction,ἕτερος,adjective,klau/santes,κλαίω,verb,e)qa/ptomen,θάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\n,οὐδείς,pronoun,e)kei/nou,ei)=de,εἶδον,verb,path\r,πατήρ,noun,*diofw=n,,,xrh=m',χρήμη,noun,a)niaro/teron,ἀνιαρός,adjective,,,,,,,,,,,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,d',e)ssi/,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma\,μά,particle,dai/monas,ou)/,οὐ,adverb,s',σύ,pronoun,a)\n,ἄν,particle,e)pe/gnwn,ἐπιγιγνώσκω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,*timoqe/ou,Τιμόθεος,proper,patro\s,πατήρ,noun,e)ph=n,δαίμων,adjective,ἔπειμι,verb,o)/noma,ὄνομα,adjective,sth/lhi,,,kai\,καί,conjunction,*mh/qumna,Μήθυμνα,proper,teh\,τεός,adjective,po/lis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,me/ga,fhmi/,φημί,verb,xh=ron,χήρα,noun,a)nia=sqai,ἀνιάομαι,verb,so\n,σός,adjective,po/sin,πόσις,noun,*eu)qume/nh,Εὐθυμένης,proper,,,,,,,,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*krhqi/da,,,th\n,polu/muqon,πολύμυθος,adjective,e)pistame/nhn,ἐφίστημι,verb,kala\,καλός,noun,pai/zein,παίω,verb,di/zhntai,δίζημαι,verb,*sami/wn,Σάμιος,proper,polla/ki,πολλάκις,adverb,qugate/res,θυγάτηρ,adjective,h(di/sthn,ὁ,article,ἡδύς,adjective,sune/riqon,συνέριθος,noun,a)ei\,ἀεί,adverb,la/lon,λάλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',a)pobri/zei,ἀποβρίζω,verb,e)nqa/de,ἐνθάδε,adverb,to\n,ὁ,article,pa/sais,πᾶς,adjective,u(/pnon,ὕπνον,noun,o)feilo/menon,ὀφείλω,verb,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)/fele,ὀφείλω,verb,mhd',e)ge/nonto,γίγνομαι,verb,qoai\,θοός,adjective,ne/es,ναῦς,noun,,,,,,,,,,,,,,,,,μηδέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,a)\n,ἄν,particle,h(mei=s,ἐγώ,pronoun,pai=da,παῖς,adjective,*dioklei/dou,Διοκλείδης,proper,*sw/polin,Σώπολις,proper,e)ste/nomen,στένω,verb,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',o(\,ὅς,pronoun,me\n,μέν,particle,ei)n,ἐν,preposition,a(li/,ἁλίς,noun,pou,πού,adverb,fe/retai,φέρω,verb,ne/kus,νέκυς,noun,a)nti\,ἀντί,preposition,d',δέ,particle,δέ,particle,e)kei/nou,ἐκεῖνος,pronoun,ou)/noma,ὄνομα,adjective,kai\,καί,conjunction,keneo\n,κενός,adjective,sh=ma,σῆμα,adjective,parerxo/meqa,παρέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*na/cios,Νάξιος,proper,ou)k,e)pi\,ἐπί,preposition,gh=s,γῆ,noun,e)/qanen,θνήσκω,verb,*lu/kos,Λύκος,proper,a)ll',ἀλλά,adverb,e)ni\,ἐν,preposition,po/ntwi,πόντος,noun,nau=n,ναῦς,noun,a(/ma,οὐ,adverb,ἅμα,adverb,kai\,καί,conjunction,yuxh\n,ψυχή,noun,ei)=den,εἶδον,verb,a)pollume/nhn,ἀπόλλυμι,verb,e)/mporos,ἔμπορος,adjective,*ai)gi/nhqen,,,o(/t',ὅτε,conjunction,e)/plee,πλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw)\,ὁ,article,me\n,e)n,ἐν,preposition,u(grh=i,,,nekro/s,νεκρός,noun,e)gw\,ἐγώ,pronoun,d',δέ,particle,a)/llws,ἄλλως,adverb,ou)/noma,ὄνομα,adjective,tu/mbos,τύμβος,noun,e)/xwn,μέν,particle,ἔχω,verb,khru/ssw,κηρύσσω,verb,pana/lhqes,,,e)/pos,ἔπος,adjective,to/de,ὅδε,pronoun,'feu=ge,φεύγω,verb,qala/sshi,θάλασσα,noun,summi/sgein,συμμίγνυμι,verb,e)ri/fwn,ἔριφος,noun,nauti/le,ναυτίλος,noun,duome/nwn',δύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dwdeke/th,δωδεκέτης,noun,to\n,pai=da,παῖς,adjective,path\r,πατήρ,noun,a)pe/qhke,ἀποτίθημι,verb,*fi/lippos,Φίλιππος,proper,e)nqa/de,ἐνθάδε,adverb,th\n,ὁ,article,pollh\n,πολύς,adjective,e)lpi/da,ἐλπίς,noun,*nikote/lhn,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)hw=ioi,,,*mela/nippon,e)qa/ptomen,θάπτω,verb,h)eli/ou,ἥλιος,noun,de/,δέ,particle,duome/nou,δύω,verb,*basilw\,,,ka/tqane,καταθνήσκω,verb,parqenikh/,παρθενική,noun,au)toxeri/,αὐτοχερί,adverb,,Μελάνιππος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw/ein,ζώω,verb,ga\r,a)delfeo\n,ἀδελφός,adjective,e)n,ἐν,preposition,puri\,πῦρ,noun,qei=sa,τίθημι,verb,ou)k,οὐ,adverb,e)/tlh,τλάω,verb,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di/dumon,δίδυμος,adjective,d',oi)=kos,οἶκος,noun,e)pei=de,ἐπεῖδον,verb,kako/n,κακός,adjective,patro\s,πατήρ,noun,*)aristi/ppoio,Ἀρίστιππος,proper,kath/fhsen,κατηφέω,verb,de\,δέ,particle,*kurh/nh,Κυρήνη,proper,pa=sa,δέ,particle,πᾶς,adjective,to\n,ὁ,article,eu)/teknon,εὔτεκνος,adjective,xh=ron,χήρα,noun,i)dou=sa,εἶδον,verb,do/mon,δόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
