word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS
au)ti/ka,αὐτίκα,adverb,oi(,ὁ,article,xalepo/n,χαλεπός,adjective,te,τε,particle,kai\,καί,conjunction,a)/grion,e)/mbale,ἐμβάλλω,verb,limo/n,λιμός,noun,ai)/qwna,αἴθων,noun,kratero/n,κρατερός,adjective,mega/lai,μέγας,adverb,d',δέ,particle,e)streu/geto,στρεύγομαι,verb,nou/swi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄγριος,adjective,,,,,,,,,
sxe/tlios,σχέτλιος,adjective,o(/ssa,ὅσος,adjective,pa/saito,πάομαι,verb,to/swn,τόσος,adjective,e)/xen,ἔχω,verb,i(/meros,au)=tis,αὖθις,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἵμερος,adjective,,,,,,,,,
ei)/kati,εἴκοσι,verb,dai=ta,δαίτης,noun,pe/nonto,πένομαι,verb,duw/deka,δυώδεκα,adjective,d',δέ,particle,oi)=non,a)/fusson,ἀφύσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἶνον,noun,,,,,,,,,
to/ssa,τόσος,adjective,*diw/nuson,Διόνυσος,proper,ga\r,γάρ,particle,a(\,ὅς,pronoun,kai\,καί,conjunction,*da/matra,xale/ptei,χαλέπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ta=i,ὁ,article,*da/matri,,,sunwrgi/sqh,συνοργίζομαι,verb,*dio/nusos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Διόνυσος,proper,,,,,,,,,
ou)/te,οὔτε,adverb,nin,νιν,pronoun,ei)s,εἰς,preposition,e)ra/nws,ἔρανος,noun,ou)/te,οὔτε,adverb,cundei/pnia,pe/mpon,πέμπω,verb,ai)do/menoi,αἰδέομαι,verb,gone/es,γονεύς,noun,proxana\,,,d',δέ,particle,eu(ri/sketo,εὑρίσκω,verb,pa=sa,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συνδείπνιον,noun,,,,,,,,,
h)=nqon,ἔρχομαι,verb,*)itwnia/dos,Ἰτωνιάς,proper,nin,νιν,pronoun,*)aqanai/as,Ἀθήνη,proper,e)p',ἐπί,preposition,a)/eqla,*)ormeni/dai,Ὀρμενίδης,proper,kale/ontes,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἆθλον,noun,,,,,,,,,
a)p',ἀπό,preposition,w)=n,οὖν,particle,a)rnh/sato,ἀρνέομαι,verb,ma/thr,μήτηρ,noun,'ou)k,οὐ,adverb,e)/ndoi,xqizo\s,χθιζός,adjective,ga\r,γάρ,particle,e)pi\,ἐπί,preposition,*krannw=na,Κραννών,proper,be/bake,βάζω,verb,te/lqos,τέλθος,noun,a)paithsw=n,ἀπαιτέω,verb,e(kato\n,ἑκατόν,noun,bo/as',βοάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔνδοι,adverb,,,,,,,,,
h)=nqe,ἔρχομαι,verb,*polucw/,Πολυξώ,proper,ma/thr,μήτηρ,noun,*)aktori/wnos,Ἀκτορίων,proper,e)pei\,ἐπεί,conjunction,ga/mon,a)/rtue,ἀρτύω,verb,paidi/,παῖς,adjective,a)mfo/teron,ἀμφότερος,adjective,*trio/pan,Τριόπης,proper,te,τε,particle,kai\,καί,conjunction,ui(e/a,υἱός,noun,kiklh/skoisa,κικλήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάμος,adjective,,,,,,,,,
ta\n,ὁ,article,de\,δέ,particle,guna\,γυνή,noun,baru/qumos,βαρύθυμος,adjective,a)mei/beto,ἀμείβω,verb,da/kru,xe/oisa,,,'nei=tai/,νέομαι,verb,toi,σύ,pronoun,*trio/pas,Τριόπης,proper,*)erusi/xqona,Ἐρυσίχθων,proper,d',δέ,particle,h)/lase,ἐλαύνω,verb,ka/pros,κάπρος,noun,*pi/ndon,Πίνδος,proper,a)n',ἀνά,preposition,eu)a/gkeian,,,d,,,d',δέ,particle,e)nne/a,ἐννέα,verb,fa/ea,φάος,adjective,kei=tai',κέω,verb,,,,,,,,,,,,,,,,,,,δάκρυον,noun,,,,,,,,,
deilai/a,δείλαιος,adjective,filo/tekne,φιλότεκνος,adjective,ti/,τίς,pronoun,d',δέ,particle,ou)k,οὐ,adverb,e)yeu/sao,ma=ter,μήτηρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ψεύδω,verb,,,,,,,,,
dai/nuen,,,ei)lapi/nan,εἰλαπίνη,noun,tis,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'e)n,ἐν,preposition,a)llotri/ois,ἀλλότριος,adjective,*)erusi/xqwn',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/geto/,ἄγω,verb,tis,τις,pronoun,nu/mfan,νύμφη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'*)erusi/xqona,,,di/skos,δίσκος,noun,e)/tuyen',τύφω,verb,h)\,ἠέ,conjunction,'e)/pes',,,e)c,i(/ppwn',ἵππος,noun,h)\,ἠέ,conjunction,'e)n,ἐν,preposition,*)/oqrui+,,,poi/mni',ποίμνιον,noun,a)miqrei=',ἀμιθρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,
e)ndo/muxos,ἐνδόμυχος,adjective,dh)/peita,ἔπειτα,adverb,pana/meros,πανήμερος,adverb,ei)lapinasta/s,εἰλαπιναστής,noun,h)/sqie,ἐσθίω,verb,muri/a,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μυρίος,adjective,,,,,,,,,
kaka\,κακός,adjective,d',δέ,particle,e)ca/lleto,ἐξάλλομαι,verb,gasth/r,γαστήρ,noun,ai)ei\,ἀεί,adverb,ma=llon,e)/donti,ἔδω,verb,ta\,ὁ,article,d',δέ,particle,e)s,εἰς,preposition,buqo\n,βυθός,noun,oi(=a,οἷος,adjective,qala/ssas,θάλασσα,noun,a)lema/tws,ἠλέματος,adjective,a)xa/rista,ἀχάριστος,adjective,kate/rreen,καταρρέω,verb,ei)/data,εἶδαρ,noun,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μᾶλλον,adverb,,,,,,,,,
w(s,ὡς,conjunction,de\,δέ,particle,*mi/manti,Μίμας,proper,xiw/n,χιών,adjective,w(s,ὡς,conjunction,a)eli/wi,e)/ni,ἐν,preposition,plaggw/n,,,kai\,καί,conjunction,tou/twn,οὗτος,pronoun,e)/ti,ἔτι,adverb,mei=zon,μέγας,adverb,e)ta/keto,τήκω,verb,me/sf',μέσφα,adverb,e)pi\,ἐπί,preposition,neura/s,νευρά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀέλιος,noun,,,,,,,,,
deilai/wi,δείλαιος,adjective,i)=ne/s,ἴς,adjective,te,τε,particle,kai\,καί,conjunction,o)ste/a,ὀστέον,noun,mw=non,e)/leifqen,λείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μόνος,adjective,,,,,,,,,
klai=e,κλαίω,verb,me\n,μέν,particle,a(,ὁ,article,ma/thr,μήτηρ,noun,baru\,βαρύς,adjective,d',e)/stenon,στένω,verb,ai(,ὁ,article,du/',δύη,adjective,a)delfai/,ἀδελφή,noun,xw(,ὁ,article,masto\s,μαστός,noun,to\n,ὁ,article,e)/pwne,,,kai\,καί,conjunction,ai(,ὁ,article,de/ka,δέκα,verb,polla/ki,πολλάκις,adverb,dw=lai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,
kai\,καί,conjunction,d',δέ,particle,au)to\s,αὐτός,pronoun,*trio/pas,Τριόπης,proper,poliai=s,πολιά,noun,e)pi\,xei=ras,χείρ,noun,e)/balle,βάλλω,verb,toi=a,τοῖος,adjective,to\n,ὁ,article,ou)k,οὐ,adverb,a)i/onta,ἀίω,verb,*poseida/wna,Ποσειδεών,proper,kalistre/wn,καλιστρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπί,preposition,,,,,,,,,
'yeudopa/twr,ψευδοπάτωρ,noun,i)de\,ἰδέ,conjunction,to/nde,ὅδε,pronoun,teou=,σύ,pronoun,tri/ton,τρίτος,adjective,ei)/per,e)gw\,ἐγώ,pronoun,me/n,μέν,particle,seu=,σύ,pronoun,te,τε,particle,kai\,καί,conjunction,*ai)oli/dos,Αἰολεύς,proper,*kana/kas,Κανάκη,proper,ge/nos,γένος,noun,au)ta\r,ἀτάρ,particle,e)mei=o,ἐγώ,pronoun,tou=to,οὗτος,pronoun,to\,ὁ,article,dei/laion,δείλαιος,adjective,ge/neto,γίγνομαι,verb,bre/fos,βρέφος,noun,,,,,,,,,,,,,,,,,,,,,,εἴπερ,conjunction,,,,,,,,,
ai)/qe,εἴθε,interjection,ga\r,γάρ,particle,au)to/n,αὐτός,pronoun,blhto\n,βλητός,adjective,u(p',ὑπό,preposition,*)apo/llwnos,e)mai\,ἐμός,adjective,xe/res,χείρ,noun,e)ktere/ican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἀπόλλων,proper,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,kaka\,κακός,adjective,bou/brwstis,βούβρωστις,noun,e)n,ἐν,preposition,o)fqalmoi=si,ka/qhtai,καθίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὀφθαλμός,noun,,,,,,,,,
h)/,ἠέ,conjunction,oi(,ἕ,pronoun,a)po/stason,ἀφίστημι,verb,xalepa\n,χαλεπός,adjective,no/son,νόσος,noun,h)e/,nin,νιν,pronoun,au)to/s,αὐτός,pronoun,bo/ske,βόσκω,verb,labw/n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἠέ,conjunction,,,,,,,,,
a(mai\,ἁμός,adjective,ga\r,γάρ,particle,a)peirh/kanti,ἀπεῖπον,verb,tra/pezai,τράπεζα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xh=rai,χήρα,noun,me\n,μέν,particle,ma/ndrai,μάνδρα,noun,keneai\,κενός,adjective,de/,δέ,particle,moi,au)/lies,,,h)/dh,ἤδη,adverb,tetrapo/dwn,τετράπους,noun,h)/dh,ἤδη,adverb,ga\r,γάρ,particle,a)parnh/santo,ἀπαρνέομαι,verb,ma/geiroi',μάγειρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,
a)lla\,ἀλλά,adverb,kai\,καί,conjunction,ou)rh=as,οὐρεύς,noun,megala=n,μέγας,adverb,u(pe/lusan,ὑπολύω,verb,a(maca=n,kai\,καί,conjunction,ta\n,ὁ,article,bw=n,βοῦς,noun,e)/fagen,ἐσθίω,verb,ta\n,ὁ,article,*(esti/ai,Ἑστία,proper,e)/trefe,τρέφω,verb,ma/thr,μήτηρ,noun,kai\,καί,conjunction,to\n,ὁ,article,a)eqlofo/ron,ἀθλοφόρος,adjective,kai\,καί,conjunction,to\n,ὁ,article,polemh/ion,πολεμήιος,adjective,i(/ppon,ἵππος,noun,kai\,καί,conjunction,ta\n,ὁ,article,ai)/louron,αἴλουρος,noun,ta\n,ὁ,article,e)/treme,τρέμω,verb,qhri/a,θηρίον,noun,mikka/,μικκός,adjective,ἄμαξα,noun,,,,,,,,,
me/sf',μέσφα,adverb,o(/ka,,,me\n,μέν,particle,*trio/pao,Τριόπης,proper,do/mois,δόμος,noun,e)/ni,xrh/mata,χρῆμα,adjective,kei=to,κέω,verb,mw=noi,,,a)/r',ἄρα,particle,oi)kei=oi,οἰκεῖος,adjective,qa/lamoi,θάλαμος,adjective,kako\n,κακός,adjective,h)pi/stanto,ἐπίσταμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,,,,,,,,,
a)ll',ἀλλά,adverb,o(/ka,,,to\n,ὁ,article,baqu\n,βαθύς,adjective,oi)=kon,οἶκος,noun,a)nech/ranan,o)do/ntes,ὀδούς,noun,kai\,καί,conjunction,to/x',τότε,adverb,o(,ὁ,article,tw=,ὁ,article,basilh=os,βασιλεύς,noun,e)ni\,ἐν,preposition,trio/doisi,τρίοδος,noun,kaqh=sto,κάθημαι,verb,ai)ti/zwn,αἰτίζω,verb,a)ko/lws,ἄκολος,noun,te,τε,particle,kai\,καί,conjunction,e)/kbola,ἔκβολος,adjective,lu/mata,λῦμα,noun,daito/s,δαίς,adjective,,,,,,,,,,,,,,,,,,,ἀναξηραίνω,verb,,,,,,,,,
*da/mater,,,mh\,μή,conjunction,th=nos,ἐκεῖνος,pronoun,e)mi\n,ἐγώ,pronoun,fi/los,φίλος,adjective,o(/s,toi,τοι,particle,a)pexqh/s,ἀπεχθής,adverb,ei)/h,ἀίω,verb,mhd',μηδέ,particle,o(mo/toixos,ὁμότοιχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,
e)moi\,ἐγώ,pronoun,kakogei/tones,κακογείτων,adjective,e)xqroi/,ἐχθρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/isate,,,parqenikai/,παρθενική,noun,kai\,καί,conjunction,e)pifqe/gcasqe,ἐπιφθέγγομαι,verb,tekoi=sai,τίκτω,verb,*da/mater,me/ga,μέγας,adverb,xai=re,χαίρω,verb,polu/trofe,πολύτροφος,adjective,poulume/dimne',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw)s,ὡς,conjunction,ai(,ὁ,article,to\n,ὁ,article,ka/laqon,κάλαθος,noun,leuko/trixes,λευκόθριξ,adjective,i(/ppoi,a)/gonti,ἄγω,verb,te/ssares,τέσσαρες,noun,w(\s,ὅς,pronoun,a(mi\n,ἐγώ,pronoun,mega/la,μέγας,adverb,qeo\s,θεός,noun,eu)rua/nassa,εὐρυάνασσα,noun,leuko\n,λευκός,adjective,e)/ar,ἔαρ,noun,leuko\n,λευκός,adjective,de\,δέ,particle,qe/ros,θέρος,noun,kai\,καί,conjunction,xei=ma,χεῖμα,noun,fe/roisa,φέρω,verb,h(cei=,ἥκω,verb,kai\,καί,conjunction,fqino/pwron,φθινόπωρον,noun,e)/tos,ἔτος,noun,d',δέ,particle,ei)s,εἰς,preposition,a)/llo,ἄλλος,adjective,ἵππος,noun,fulacei=,φυλάσσω,verb,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,a)pedi/lwtoi,,,kai\,καί,conjunction,a)na/mpukes,,,a)/stu,pateu=mes,πατέω,verb,w(\s,ὅς,pronoun,po/das,πούς,noun,w(\s,ὅς,pronoun,kefala\s,κεφαλή,noun,panaphre/as,παναπηρής,adjective,e(/comes,ἔχω,verb,ai)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄστυ,noun,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,ai(,ὁ,article,liknofo/roi,λικνοφόρος,adjective,xrusw=,χρυσός,noun,ple/a,li/kna,λίκνον,noun,fe/ronti,φέρω,verb,w(\s,ὅς,pronoun,a(me\s,,,to\n,ὁ,article,xruso\n,χρυσός,noun,a)feide/a,ἀφειδής,adverb,pasai/mesqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πλέος,adjective,,,,,,,,,
me/sfa,μέσφα,adverb,ta\,τίς,pronoun,ta=s,ὁ,article,po/lios,πόλις,adjective,prutanh/ia,πρυτανεῖον,adjective,ta\s,a)tele/stws,ἀτέλεστος,adjective,ta\s,ὁ,article,de\,δέ,particle,telesfore/as,,,poti\,πρός,preposition,ta\n,ὁ,article,qeo\n,θεός,noun,a)/xris,ἄχρι,adverb,o(martei=n,ὁμαρτέω,verb,ai(/tines,ὅστις,pronoun,e(ch/konta,ἑξήκοντα,adjective,katw/terai,κάτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,
ai(,ὁ,article,de\,δέ,particle,barei=ai,βαρύς,adjective,xa)/tis,ὅστις,pronoun,*)eleiqui/ai,,,tei/nei,xe/ra,χείρ,noun,xa)/tis,ὅστις,pronoun,e)n,ἐν,preposition,a)/lgei,ἄλγος,noun,w(\s,ὅς,pronoun,a(/lis,ἅλις,adverb,w(s,ὡς,conjunction,au)ta=n,αὐτός,pronoun,i(kano\n,ἱκανός,adjective,go/nu,γόνυ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τείνω,verb,,,,,,,,,
tai=si,ὁ,article,de\,δέ,particle,*dhw/,Δηώ,proper,dwsei=,δίδωμι,verb,pa/nt',πᾶς,adjective,e)pi/mesta,kai\,καί,conjunction,w(s,ὡς,conjunction,poti\,πρός,preposition,nao\n,ναός,noun,i(/kwntai,ἱκνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπίμεστος,adjective,,,,,,,,,
xai=re,χαίρω,verb,qea\,θεά,noun,kai\,καί,conjunction,ta/nde,ὅδε,pronoun,sa/w,σαόω,verb,po/lin,e)/n,ἐν,preposition,q',τε,particle,o(monoi/ai,ὁμόνοια,noun,e)/n,ἐν,preposition,t',τε,particle,eu)hpeli/ai,,,fe/re,φέρω,verb,d',δέ,particle,a)gro/qi,,,no/stima,νόστιμος,adjective,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πόλις,adjective,,,,,,,,,
fe/rbe,φέρβω,verb,bo/as,βόα,noun,fe/re,φέρω,verb,ma=la,μᾶλον,noun,fe/re,φέρω,verb,sta/xun,oi)=se,φέρω,verb,qerismo/n,θερισμός,noun,fe/rbe,φέρβω,verb,kai\,καί,conjunction,ei)ra/nan,εἰρήνη,noun,i(/n',ἵνα,conjunction,o(\s,ὅς,pronoun,a)/rose,ἀρόω,verb,th=nos,ἐκεῖνος,pronoun,a)ma/shi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,στάχυς,adjective,,,,,,,,,
i(/laqi/,ἵλημι,verb,moi,ἐγώ,pronoun,tri/lliste,τρίλλιστος,adjective,me/ga,μέγας,adverb,krei/oisa,,,qea/wn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θέα,noun,,,,,,,,,
