word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/12/lemma/@_entry,word/12/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/39/lemma/@_entry,word/39/lemma/@_POS
e(stew=ta,ἵστημι,verb,de\,δέ,particle,i)dei=n,εἶδον,verb,me\n,μέν,particle,e)p',ἐπί,preposition,a)mfote/rwn,ἀμφότερος,adjective,bebw=ta,βαίνω,verb,e)c,ἐκ,preposition,i)/sou,ἴσος,adjective,tw=n,ὁ,article,podw=n,πούς,noun,a(/lis,ἅλις,adverb,drh=|n,de\,δέ,particle,tw=|,ὁ,article,e(te/rw|,ἕτερος,adjective,e)pibebw=ta,ἐπιβαίνω,verb,mh\,μή,conjunction,tw=|,ὁ,article,kata\,κατά,preposition,th\n,ὁ,article,,,drw=san,δράω,verb,xei=ra,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/yos,ὕψος,noun,gou/na,,,tos,,,pro\s,πρός,preposition,boubw=nas,βουβών,noun,w(s,ὡς,conjunction,e)n,ἐν,preposition,e(/drh|,ἕδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\,ὁ,article,a)/lla,ἄλλος,adjective,o(/ria,ὅριον,noun,ta\,ὁ,article,au)ta/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,xeirizo/menos,,,tw=|,ὁ,article,xeiri/zonti,,,tw=|,ὁ,article,a)/llw|,ἄλλος,adjective,tou=,ὁ,article,sw/matos,σῶμα,adjective,me/rei,μέρος,noun,u(phretei/tw,ὑπηρετέω,verb,h)\,ἠέ,conjunction,e(stew\s,h)\,ἠέ,conjunction,kaqh/menos,κάθημαι,verb,h)\,ἠέ,conjunction,kei/menos,κεῖμαι,verb,o(/kws,ὅπως,conjunction,a)\n,ἄν,particle,*rh/i+sta,,,o(\,ὅς,pronoun,ἵστημι,verb,dei=,δέομαι,verb,sxh=ma,σχῆμα,noun,e)/xwn,ἔχω,verb,diatele/h|,διατελέω,verb,fula/sswn,φυλάσσω,verb,u(po/r)*rusin,u(po/stasin,ὑπόστασις,noun,e)/ktreyin,ἔκτρεψις,noun,katanti/an,καταντία,noun,w(s,ὡς,conjunction,o(\,ὅς,pronoun,dei=,δέομαι,verb,sw/zhtai,σώζω,verb,kai\,καί,conjunction,sxh=ma,σχῆμα,noun,kai\,καί,conjunction,ei)=dos,εἶδος,noun,tou=,ὁ,article,xeirizome/nou,e)n,ἐν,preposition,pare/cei,παραξέω,verb,e)n,ἐν,preposition,xeirismw=|,χειρισμός,noun,e)n,ἐν,preposition,th=|,ὁ,article,e)/peita,ἔπειτα,adverb,e(/cei,ἔχω,verb,,,,
o)/nuxas,ὄνυξ,noun,mh/te,μήτε,particle,u(pere/xein,ὑπερέχω,verb,mh/te,μήτε,particle,e)llei/pein,ἐλλείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktu/lwn,δάκτυλος,noun,korufh=|si,κορυφή,noun,xrh=sis,χρῆσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ske/ein,ἀσκέω,verb,daktu/loisi,δάκτυλος,noun,me\n,μέν,particle,a)/krois,ἄκρον,noun,ta\,ὁ,article,plei=sta,πλεῖστος,adjective,lixanw=|,λιχανός,adjective,pro\s,πρός,preposition,me/gan,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/lh|,ὅλος,adjective,de\,δέ,particle,kataprhnei=,καταπρηνής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfote/rh|si,ἀμφότερος,adjective,de\,δέ,particle,e)nanti/h|sin,ἐναντίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktu/lwn,δάκτυλος,noun,eu)fui/+a,εὐφυία,noun,me/ga,μέγας,adverb,to\,ὁ,article,e)n,ἐν,preposition,me/sw|,μέσος,adjective,tw=n,ὁ,article,daktu/lwn,δάκτυλος,noun,kai\,καί,conjunction,a)penanti/on,ἀπεναντίος,adjective,to\n,ὁ,article,me/gan,μέγας,adverb,tw=|,lixanw=|,λιχανός,adjective,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nou=sos,νόσος,noun,de\,δέ,particle,di',διά,preposition,h(\n,ὅς,pronoun,kai\,καί,conjunction,bla/ptontai,βλάπτω,verb,oi(=sin,ὅς,pronoun,e)k,ἐκ,preposition,geneh=s,γενεά,noun,h)\,ἠέ,conjunction,e)n,ἐν,preposition,trofh=|,τροφεύς,noun,ei)/qistai,o(,ὁ,article,me/gas,μέγας,adverb,u(po\,ὑπό,preposition,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,daktu/lwn,δάκτυλος,noun,kate/xesqai,κατέχω,verb,dh=lon,δῆλος,adjective,ἐθίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,e)/rga,ἔργον,noun,pa/nta,πᾶς,adjective,a)ske/ein,ἀσκέω,verb,e(ka,,,te/rh|,,,drw=nta,δράω,verb,kai\,καί,conjunction,a)mfote/rh|sin,ἀμφότερος,adjective,a(/mao(/moiai,,,ga/r,γάρ,particle,ei)sin,εἰμί,verb,a)mfo/terai),stoxazo/menon,στοχάζομαι,verb,a)gaqw=s,ἀγαθός,adjective,kalw=s,καλός,noun,taxe/ws,ταχέως,adverb,a)po/nws,ἄπονος,adjective,eu)ru/qmws,εὔρυθμος,adjective,eu)po/rws,εὔπορος,adjective,,,,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/organa,,,me\n,μέν,particle,kai\,καί,conjunction,o(/te,ὅστε,pronoun,kai\,καί,conjunction,oi(/ws,οἵως,adverb,ei)rh/setai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/kou,ὅπου,adverb,dei=,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,e)mpodw\n,ἐμποδών,adverb,tw=|,ὁ,article,e)/rgw|,ἔργον,noun,mhde\,μηδέ,particle,e)mpodw\n,ἐμποδών,adverb,th=|,ὁ,article,a)naire/sei,ἀναίρεσις,noun,para\,παρά,preposition,to\,ὁ,article,e)rgazo/menon,ἐργάζομαι,verb,de\,δέ,particle,tou=,sw/matos,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llos,ἄλλος,adjective,de\,δέ,particle,h)\n,ἐάν,conjunction,didw=|,δίδωμι,verb,e(/toimos,ἑτοῖμος,adjective,o)li/gw|,ὀλίγος,adjective,pro/teron,πρότερος,adjective,e)/stw,εἰμί,verb,poiei/tw,ποιέω,verb,de\,δέ,particle,o(/tan,ὅταν,conjunction,keleu/h|s,κελεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,peri\,περί,preposition,to\n,ὁ,article,a)sqene/onta,ἀσθενέω,verb,to\,ὁ,article,me\n,μέν,particle,xeirizo/menon,,,parexo/ntwn,παρέχω,verb,w(s,ὡς,conjunction,a)\n,ἄν,particle,dokh=|,δοκάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,a)/llo,ἄλλος,adjective,sw=ma,σῶμα,adjective,katexo/ntwn,κατέχω,verb,w(s,ὡς,conjunction,a)\n,ἄν,particle,a)treme/h|,ἀτρεμέω,verb,sigw=ntes,σιγάω,verb,a)kou/ontes,ἀκούω,verb,tou=,ὁ,article,e)festew=tos,ἐφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pide/sios,ἐπίδεσις,noun,du/o,δύο,adjective,ei)/dea,εἶδος,noun,ei)rgasme/non,ἐργάζομαι,verb,kai\,καί,conjunction,e)rgazo/menon,ἐργάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)rgazo/menon,ἐργάζομαι,verb,me\n,μέν,particle,taxe/ws,ταχέως,adverb,a)po/nws,ἄπονος,adjective,eu)po/rws,εὔπορος,adjective,eu)ru/qmws,εὔρυθμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxe/ws,ταχέως,adverb,me\n,μέν,particle,a)nu/ein,ἀνύω,verb,ta\,ὁ,article,e)/rga,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)po/nws,ἄπονος,adjective,de\,δέ,particle,*rhi=di/ws,,,drh=|n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)po/rws,εὔπορος,adjective,de\,δέ,particle,e)s,εἰς,preposition,pa=n,πᾶς,adjective,e(toi/mws,ἑτοῖμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)ru/qmws,εὔρυθμος,adjective,de\,δέ,particle,o(rh=sqai,ὁράω,verb,h(de/ws,ἡδέως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/f',ἀπό,preposition,w(=n,ὅς,pronoun,de\,δέ,particle,tau=ta,οὗτος,pronoun,a)skhma/twn,ἄσκημα,noun,ei)/rhtai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)rgasme/non,ἐργάζομαι,verb,de\,δέ,particle,a)gaqw=s,ἀγαθός,adjective,kalw=s,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalw=s,καλός,noun,me\n,μέν,particle,a(plw=s,ἁπλῶς,adverb,eu)krine/ws,εὐκρινής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,o(/moia,ὅμοιος,adjective,kai\,καί,conjunction,i)/sa,ἴσος,adjective,i)/sws,ἴσως,adverb,kai\,καί,conjunction,o(moi/ws,ὅμοιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,a)/nisa,ἄνισος,adverb,kai\,καί,conjunction,a)no/moia,ἀνόμοιος,adjective,a)ni/sws,ἄνισος,adverb,kai\,καί,conjunction,a)nomoi/ws,ἀνόμοιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,ei)/dea,εἶδος,noun,a(plou=n,ἁπλόος,adjective,ske/parnon,σκέπαρνον,noun,simo\n,σιμός,adjective,o)fqalmo\s,ὀφθαλμός,noun,*ro/mbos,,,kai\,καί,conjunction,h(mi/tomon,ἡμίτομον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(rmo/zon,ἁρμόζω,verb,to\,ὁ,article,ei)=dos,εἶδος,noun,tw=|,ὁ,article,ei)/dei,εἶδος,noun,kai\,καί,conjunction,tw=|,ὁ,article,pa/qei,πάθος,adjective,tou=,ὁ,article,e)pideome/nou,ἐπιδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gaqa\,ἀγαθός,adjective,de\,δέ,particle,du/o,δύο,adjective,ei)/dea,εἶδος,noun,tou=,ὁ,article,e)pideome/nou,ἐπιδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)sxu/os,ἰσχύς,noun,me\n,μέν,particle,h)\,ἠέ,conjunction,pie/cei,πιέζω,verb,h)\,ἠέ,conjunction,plh/qei,πλῆθος,noun,o)qoni/wn,ὀθόνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,au(/th,οὗτος,pronoun,h(,ὁ,article,e)pi/desis,ἐπίδεσις,noun,i)h=tai,ἰάομαι,verb,to\,ὁ,article,de\,δέ,particle,toi=sin,τίς,pronoun,i)wme/noisin,ἰάομαι,verb,u(phrete/ei,ὑπηρετέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,tau=ta,οὗτος,pronoun,no/mos,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,toute/oisi,,,me/gista,μέγας,adverb,e)pide/sios,ἐπίδεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi/ecis,,,me\n,μέν,particle,w(/ste,ὥστε,conjunction,ta\,ὁ,article,e)pikei/mena,ἐπίκειμαι,verb,mh\,μή,conjunction,a)festa/nai,ἀφίστημι,verb,mhde\,μηδέ,particle,e)rhrei=sqai,ἐρείδω,verb,ka/rta,κάρτα,adverb,a)lla\,ἀλλά,adverb,h(rmo/sqai,ἁρμόζω,verb,me\n,proshnagka/sqai,προσαναγκάζω,verb,de\,δέ,particle,mh\,μή,conjunction,h(=sson,ἥσσων,adverb,me\n,μέν,particle,ta\,ὁ,article,e)/sxata,σχέθω,verb,h(/kista,ἥκιστος,adjective,μέν,particle,de\,δέ,particle,ta\,ὁ,article,me/sa,μέση,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/mma,ἅμμα,noun,kai\,καί,conjunction,*ra/mma,,,nemo/menon,νέμω,verb,mh\,μή,conjunction,ka/tw,κάτος,adjective,a)ll',ἀλλά,adverb,a)/nw,ἄνω,adverb,e)n,ἐν,preposition,pare/cei,παραξέω,verb,kai\,καί,conjunction,sxe/sei,σχέσις,noun,kai\,e)pide/sei,ἐπίδεσις,noun,kai\,καί,conjunction,pie/cei,πιέζω,verb,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxa\s,ἀρχή,noun,ba/llesqai,βάλλω,verb,mh\,μή,conjunction,e)pi\,ἐπί,preposition,to\,ὁ,article,e(/lkos,ἕλκος,noun,a)ll',ἀλλά,adverb,e)/nqa,ἔνθα,adverb,to\,ὁ,article,a(/mma,ἅμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,a(/mma,ἅμμα,noun,mh/te,μήτε,particle,e)n,ἐν,preposition,tri/bw|,τρίβος,noun,mh/te,μήτε,particle,e)n,ἐν,preposition,e)/rgw|,ἔργον,noun,mh/te,μήτε,particle,e)kei=se,ἐκεῖσε,adverb,o(/kou,ὅπου,adverb,e)neo/n,,,,,,,,,,,,,,,,,,,,,,,,,ἐνεός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/mma,ἅμμα,noun,de\,δέ,particle,kai\,καί,conjunction,*ra/mma,,,malqako\n,μαλθακός,adjective,ou),οὐ,adverb,me/ga,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=,εὖ,adverb,ge,γε,particle,mh\n,μήν,particle,gno/nta,γιγνώσκω,verb,o(/ti,ὅστις,pronoun,e)s,εἰς,preposition,ta\,ὁ,article,kata/nth,κατάντης,adjective,kai\,καί,conjunction,a)po/ch,ἀποξέω,verb,feu/gei,φεύγω,verb,pa=s,πᾶς,adjective,e)pi/desmos,oi(=on,οἷος,adjective,kefalh=s,κεφαλή,noun,me\n,μέν,particle,to\,ὁ,article,a)/nw,ἄνω,adverb,knh/mhs,κνήμη,adjective,de\,δέ,particle,to\,ὁ,article,ἐπίδεσμος,noun,ka/tw,κάτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pidei=n,ἐπεῖδον,verb,decia\,δεξιός,adjective,e)p',ἐπί,preposition,a)ristera\,ἀριστερός,adjective,a)ristera\,ἀριστερός,adjective,e)pi\,ἐπί,preposition,decia\,δεξιός,adjective,plh\n,πλήν,preposition,th=s,ὁ,article,kefalh=s,κεφαλή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau/thn,οὗτος,pronoun,de\,δέ,particle,kat',κατά,preposition,i)/cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
