word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
*)ari/starxo/s,Ἀρίσταρχος,proper,tis,τις,pronoun,tessa/rwn,τέσσαρες,noun,path\r,πατήρ,noun,geno/menos,γίγνομαι,verb,pai/dwn,παῖς,adjective,*kurwni/dou,kai\,καί,conjunction,*dhmoxa/rous,kai\,καί,conjunction,th=s,ὁ,article,mhtro\s,μήτηρ,noun,tou=,ὁ,article,le/gontos,λέγω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,kai\,καί,conjunction,a)/llhs,ἄλλος,adjective,ko/rhs,κόρη,noun,tou/twn,οὗτος,pronoun,me\n,μέν,particle,to\n,ὁ,article,*kurwni/dhn,e)/ti,ἔτι,adverb,peri/wn,ei)sepoi/hsen,εἰσποιέω,verb,ei)s,εἰς,preposition,to\n,ὁ,article,*cenaine/tou,Ξεναίνετος,proper,tou=,ὁ,article,kata\,κατά,preposition,mhte/ra,μήτηρ,noun,pa/ppou,πάππας,noun,klh=ron,κλῆρος,adjective,au)to\s,αὐτός,pronoun,de\,δέ,particle,klhrono/mous,κληρόνομος,noun,tou\s,ὁ,article,loipou\s,λοιπός,adjective,e(autw=|,ἑαυτοῦ,pronoun,kate/leiye,καταλείβω,verb,pai=das,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,tau=ta,οὗτος,pronoun,teleuta=|,τελευτάω,verb,me\n,μέν,particle,*dhmoxa/rhs,Δημοχάρης,proper,a)/pais,ἄπαις,noun,kai\,h(,ὁ,article,mi/a,quga/thr,θυγάτηρ,adjective,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,εἷς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,au)th\,αὐτός,pronoun,a)/pais,ἄπαις,noun,o(,ὁ,article,de\,δέ,particle,klh=ros,κλῆρος,adjective,o(/los,e)/rxetai,ἔρχομαι,verb,dikai/ws,ei)s,εἰς,preposition,th\n,ὁ,article,mhte/ra,μήτηρ,noun,tou=,ὁ,article,le/gontos,λέγω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅλος,adjective,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,me\n,μέν,particle,ou(/tw,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,th\n,ὁ,article,teleuth\n,τελευτή,noun,*)arista/rxou,Ἀρίσταρχος,proper,*)aristome/nhs,Ἀριστομένης,proper,a)delfo\s,w)\n,εἰμί,verb,au)tou=,kai\,καί,conjunction,kata\,κατά,preposition,no/mon,νόμος,noun,e)pi/tropos,ἐπίτροπος,adjective,tw=n,ὁ,article,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,gino/menos,γίγνομαι,verb,pai/dwn,παῖς,adjective,e)kde/dwke,ἐκδίδωμι,verb,*kurwni/dh|,,,tw=|,ὁ,article,e)kpoih/tw|,,,ui(w=|,*)arista/rxou,Ἀρίσταρχος,proper,th\n,qugate/ra,θυγάτηρ,adjective,e(autou=,ἑαυτοῦ,pronoun,e)paggeila/menos,ἐπαγγέλλω,verb,peripoih=sai,περιποιέω,verb,au)tw=|,αὐτός,pronoun,to\n,ὁ,article,*)arista/rxou,Ἀρίσταρχος,proper,klh=ron,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀδελφός,adjective,αὐτός,pronoun,υἱός,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,dh\,δή,particle,kai\,καί,conjunction,pepoi/hke,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genome/nou,γίγνομαι,verb,ga\r,γάρ,particle,ui(ou=,υἱός,noun,tw=|,ὁ,article,*kurwni/dh|,,,prw=ton,πρότερος,adjective,me\n,o)/noma,ὄνομα,adjective,tw=|,paidi\,παῖς,adjective,to\,ὁ,article,tou=,ὁ,article,pa/ppou,πάππας,noun,dedw/kasin,δίδωμι,verb,*)ari/starxon,Ἀρίσταρχος,proper,o)noma/santes,ὀνομάζω,verb,ei)=ta,εἶτα,adverb,ei)sepoi/hsan,εἰσποιέω,verb,au)to\n,αὐτός,pronoun,ei)s,εἰς,preposition,to\n,ὁ,article,lttou=gt,,,pa/ppou,oi)=kon,οἶκος,noun,w(s,dh\,δή,particle,tou=to,οὗτος,pronoun,e)kei/nou,ἐκεῖνος,pronoun,prosta/cantos,προσστάζω,verb,kai\,καί,conjunction,parade/dwken,παραδίδωμι,verb,*)aristome/nhs,Ἀριστομένης,proper,au)tw=|,αὐτός,pronoun,to\n,ὁ,article,o(/lon,ὅλος,adjective,tou=,ὁ,article,pa/ppou,πάππας,noun,klh=ron,κλῆρος,adjective,,,,,,,,,,,,,μέν,particle,ὁ,article,πάππας,noun,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,a)/pais,ἄπαις,noun,w)\n,εἰμί,verb,e)kei=nos,ἐκεῖνος,pronoun,kai\,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleutw=n,τελευτάω,verb,klhrono/mon,κληρονόμος,noun,kata\,κατά,preposition,diaqh/kas,διαθήκη,noun,e)nesth/sato,ἐνίστημι,verb,to\n,ὁ,article,i)/dion,a)delfo\n,ἀδελφός,adjective,*cenai/neton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἴδιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,ou(/tw,οὕτως,adverb,genome/nwn,γίγνομαι,verb,kai\,καί,conjunction,kratou=ntos,κρατέω,verb,*cenaine/tou,Ξεναίνετος,proper,th\n,*)arista/rxou,Ἀρίσταρχος,proper,tou=,palaiou=,παλαιός,adjective,ou)si/an,οὐσία,adjective,a)mfisbhtei=,ἀμφισβητέω,verb,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,o(,ὁ,article,ui(o\s,υἱός,noun,th=s,ὁ,article,qugatro\s,θυγάτηρ,adjective,*)arista/rxou,Ἀρίσταρχος,proper,tou=,ὁ,article,palaiou=,παλαιός,adjective,le/gwn,λέγω,verb,e(auto\n,mo/non,μόνος,adjective,ei)=nai,klhrono/mon,κληρονόμος,noun,dikai/ws,δίκαιος,adjective,tw=n,ὁ,article,*)arista/rxou,Ἀρίσταρχος,proper,tou=,ὁ,article,palaiou=,παλαιός,adjective,xrhma/twn,χρῆμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,ἑαυτοῦ,pronoun,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,*kurwni/dhs,,,fhsi/n),φημί,verb,e)kpoi/htos,ἐκποίητος,adjective,e)ge/neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,path\r,πατήρ,noun,ui(o\n,υἱός,noun,e)/xwn,ἔχω,verb,gnh/sion,γνήσιος,adjective,to\n,*dhmoxa/rhn,Δημοχάρης,proper,ou)k,e)du/nato,δύναμαι,verb,qeto\n,θετός,adjective,e(autw=|,ἑαυτοῦ,pronoun,poih=sai,ποιέω,verb,pai=da,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*dhmoxa/rhs,Δημοχάρης,proper,a)telh\s,ἀτελής,adjective,w)\n,εἰμί,verb,ou)de\,οὐδέ,particle,au)to\s,e)du/nato,δύναμαι,verb,ei)spoih=sai,tw=|,ὁ,article,patri\,πατήρ,noun,qeto\n,θετός,adjective,ui(o/n,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,εἰσποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)d',οὐδέ,particle,h(,ὁ,article,a)/llh,ἄλλος,adjective,quga/thr,θυγάτηρ,adjective,au)tou=,αὐτός,pronoun,h(,proteleuth/sasa,προτελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,ou),οὐ,adverb,kata\,κατά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,fhsi/),φημί,verb,th=s,ei)spoih/sews,εἰσποίησις,noun,genome/nhs,tou=,ὁ,article,mikrou=,μικρός,adjective,*)arista/rxou,Ἀρίσταρχος,proper,ou)ke/ti,οὐκέτι,adverb,suni/stato,συνίστημι,verb,h(,ὁ,article,diaqh/kh,διαθήκη,noun,au)tou=,αὐτός,pronoun,tou=,ὁ,article,ne/ou,νέος,adjective,*)arista/rxou,Ἀρίσταρχος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,ga\r,γάρ,particle,mh\,μή,conjunction,dikai/ws,δίκαιος,adjective,e)kth/sato,κτάομαι,verb,pw=s,πῶς,adverb,a)/llw|,parape/mpein,παραπέμπω,verb,e)du/nato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄλλος,adjective,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nairoume/nhs,ἀναιρέω,verb,de\,δέ,particle,th=s,ὁ,article,diaqh/khs,διαθήκη,noun,ei)ko/tws,ἐοικότως,adverb,o(,ὁ,article,klh=ros,ei)s,εἰς,preposition,to\n,le/gonta,λέγω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,e)fe/reto,φέρω,verb,ui(o\n,υἱός,noun,o)/nta,εἰμί,verb,th=s,ὁ,article,gnhsi/as,γνήσιος,adjective,qugatro\s,θυγάτηρ,adjective,*)arista/rxou,Ἀρίσταρχος,proper,tou=,ὁ,article,palaiou=,παλαιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κλῆρος,adjective,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h(,ὁ,article,me\n,μέν,particle,u(po/qesis,ὑπόθεσις,noun,au(/th,οὗτος,pronoun,h(,ὁ,article,sta/sis,de\,δέ,particle,pragmatikh\,e)/ggrafos,ἔγγραφος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,στάσις,adjective,πραγματικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhtei=lttaigt,,,ga\r,γάρ,particle,ei),εἰ,conjunction,dei=,δέομαι,verb,ta\s,ὁ,article,toiau/tas,τοιοῦτος,adjective,sunesta/nai,diaqh/kas,διαθήκη,noun,kai\,ti/s,τίς,pronoun,dikaio/tera,δίκαιος,adjective,le/gei,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συνίστημι,verb,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)boulo/mhn,βούλομαι,verb,ltme/ngt,,,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,w(/sper,ὥσπερ,adverb,*qenai/netos,,,ou(tosi\,du/natai,δύναμαι,verb,yeudh=,le/gein,λέγω,verb,qarrale/ws,θαρσαλέος,adjective,ou(/tw,οὕτως,adverb,ka)gw\,ἐγώ,pronoun,ta)lhqh=,ἀληθής,adjective,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,peri\,περί,preposition,w(=n,ὅς,pronoun,a)mfisbhtou=men,ἀμφισβητέω,verb,ei)pei=n,εἶπον,verb,dunhqh=nai,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,ψευδής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,ga\r,γάρ,particle,a)\n,ἄν,particle,u(mi=n,σύ,pronoun,eu)qe/ws,εὐθύς,adverb,dh=lon,δῆλος,adjective,gene/sqai,ei)/q',εἴθε,interjection,h(mei=s,a)di/kws,ἄδικος,adjective,e)pi\,ἐπί,preposition,to\n,ὁ,article,klh=ron,κλῆρος,adjective,h(/komen,ἥκω,verb,ei)/q',εἴθε,interjection,ou(=toi,οὗτος,pronoun,mh\,μή,conjunction,proshko/ntws,προσηκόντως,adverb,pa/lai,πάλαι,adverb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,tau=ta,οὗτος,pronoun,ei)lh/fasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,ἐγώ,pronoun,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,ou)k,οὐ,adverb,e)c,ἐκ,preposition,i)/sou,ἴσος,adjective,diakei/meqa,διάκειμαι,verb,w)=,a)/ndres,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὦ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,kai\,καί,conjunction,le/gein,λέγω,verb,deinoi\,δεινός,adjective,kai\,paraskeua/sasqai,παρασκευάζω,verb,i(kanoi/,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,e(te/rwn,ἕτερος,adjective,polla/kis,πολλάκις,adverb,e)n,ἐν,preposition,u(mi=n,σύ,pronoun,h)gwni/sqai,ἀγωνίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ἱκανός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
