word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
e)gw\,ἐγώ,pronoun,de\,δέ,particle,mh\,μή,conjunction,o(/ti,ὅστις,pronoun,u(pe\r,ὑπέρ,preposition,a)/llou,ἄλλος,adjective,a)ll',ou)de\,οὐδέ,particle,u(pe\r,e)mautou=,ἐμαυτοῦ,pronoun,pw/pote,πώποτε,adverb,di/khn,δίκη,adjective,i)di/an,ἴδιος,adjective,ei)/rhka,ἐρῶ,verb,w(/ste,ὥστε,conjunction,pollh=s,πολύς,adjective,dei=,δέομαι,verb,me,ἐγώ,pronoun,suggnw/mhs,συγγνώμη,adjective,tuxei=n,τυγχάνω,verb,par',παρά,preposition,u(mw=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,ὑπέρ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)na/gkasmai,ἀναγκάζω,verb,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dia\,διά,preposition,to\,mh\,μή,conjunction,du/nasqai,di/khn,δίκη,adjective,par',παρά,preposition,au)tw=n,αὐτός,pronoun,labei=n,λαμβάνω,verb,th\n,ὁ,article,mhte/ra,μήτηρ,noun,th\n,ὁ,article,e)mh\n,ἐμός,adjective,e)n,ἐν,preposition,th=|,ὁ,article,a)nakri/sei,ἀνάκρισις,noun,*)arista/rxou,Ἀρίσταρχος,proper,ei)=nai,εἰμί,verb,a)delfh\n,prosgra/yasqai,προσγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,δύναμαι,verb,ἀδελφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,dia\,διά,preposition,tou=to,οὗτος,pronoun,u(mi=n,σύ,pronoun,h(,ὁ,article,dia/gnwsis,h(=tton,ἥσσων,adverb,peri\,au)tw=n,αὐτός,pronoun,eu)krinh\s,εὐκρινής,adverb,genh/setai,γίγνομαι,verb,a)ll',ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διάγνωσις,noun,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,tw=n,ὁ,article,no/mwn,νόμος,noun,skopou=sin,σκοπάω,verb,ei),εἰ,conjunction,ta\,ὁ,article,e(autou=,de/dwke,δίδωμι,verb,tou/tw|,*)ari/starxos,Ἀρίσταρχος,proper,h)\,ἠέ,conjunction,ta\,ὁ,article,mhde\n,μηδείς,pronoun,prosh/konta,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἑαυτοῦ,pronoun,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,di/kaion,δίκαιος,adjective,tou=to,οὗτος,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,no/mos,νόμος,noun,keleu/ei,κελεύω,verb,ta\,ὁ,article,me\n,μέν,particle,e(autou=,diaqe/sqai,διατίθημι,verb,o(/tw|,a)\n,ἄν,particle,e)qe/lh|,ἐθέλω,verb,tw=n,ὁ,article,de\,δέ,particle,a)llotri/wn,ἀλλότριος,adjective,ou)de/na,οὐδείς,pronoun,ku/rion,κύριος,adjective,pepoi/hke,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἑαυτοῦ,pronoun,ὅστις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,ou)=n,οὖν,particle,u(ma=s,σύ,pronoun,peira/somai,πειράω,verb,prw=ton,πρότερος,adjective,dida/skein,διδάσκω,verb,e)a/n,mou,ἐγώ,pronoun,met',eu)noi/as,εὔνοια,noun,a)kou=sai,ἀκέω,verb,e)qe/lhte,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/sesqe,εἶμι,verb,ga\r,γάρ,particle,w(s,ὡς,conjunction,o(,ὁ,article,klh=ros,κλῆρος,adjective,ou(=tos,οὗτος,pronoun,ou),tou/twn,οὗτος,pronoun,h)=n,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,a)lla\,ἀλλά,adverb,th=s,ὁ,article,e)mh=s,ἐμός,adjective,mhtro\s,μήτηρ,noun,patrw=|os,πατρῷος,adjective,e)/peita,ἔπειτα,adverb,kai\,καί,conjunction,w(s,ὡς,conjunction,*)ari/starxos,Ἀρίσταρχος,proper,ou)de\,οὐδέ,particle,kaq',κατά,preposition,e(/na,no/mon,νόμος,noun,au)to\n,ei)/lhfen,λαμβάνω,verb,a)lla\,ἀλλά,adverb,para\,παρά,preposition,pa/ntas,πᾶς,adjective,tou\s,ὁ,article,no/mous,νόμος,noun,a)dikei=,ἀδικέω,verb,meta\,μετά,preposition,tw=n,ὁ,article,oi)kei/wn,οἰκεῖος,adjective,th\n,ὁ,article,e)mh\n,ἐμός,adjective,mhte/ra,μήτηρ,noun,,,,,,,,,,,,,οὐ,adverb,εἰμί,verb,ἕνος,adjective,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,ou)=n,οὖν,particle,safe/stata,σαφής,adverb,maqh/sesqe,μανθάνω,verb,w(s,ὡς,conjunction,e)/xei,ἔχω,verb,tau=ta,e)nteu=qen,ἐντεῦθεν,adverb,u(ma=s,prw=ton,πρότερος,adjective,peira/somai,πειράω,verb,dida/skein,διδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ari/starxos,Ἀρίσταρχος,proper,ga\r,γάρ,particle,h)=n,εἰμί,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*supalh/ttios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,e)/labe,λαμβάνω,verb,*cenaine/tou,Ξεναίνετος,proper,*)axarne/ws,Ἀχαρνεύς,proper,qugate/ra,θυγάτηρ,adjective,e)c,ἐκ,preposition,h(=s,gi/gnetai,γίγνομαι,verb,*kurwni/dhs,kai\,καί,conjunction,*dhmoxa/rhs,Δημοχάρης,proper,kai\,καί,conjunction,h(,ὁ,article,mh/thr,μήτηρ,noun,h(,ὁ,article,e)mh\,ἐμός,adjective,kai\,καί,conjunction,a)/llh,ἄλλος,adjective,tou/twn,οὗτος,pronoun,a)delfh/,ἀδελφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kurwni/dhs,,,me\n,μέν,particle,ou)=n,οὖν,particle,o(,ὁ,article,tou=de,ὅδε,pronoun,path\r,πατήρ,noun,kai\,qate/rou,ἕτερος,adjective,tou=,to/nde,ὅδε,pronoun,to\n,ὁ,article,klh=ron,κλῆρος,adjective,a)di/kws,ἄδικος,adjective,e)/xontos,ἔχω,verb,e)cepoih/qh,ἐκποιέω,verb,ei)s,εἰς,preposition,e(/teron,ἕτερος,adjective,oi)=kon,οἶκος,noun,w(/ste,ὥστε,conjunction,au)tw=|,αὐτός,pronoun,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,ou)de\n,e)/ti,ἔτι,adverb,prosh=ken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ὁ,article,οὐδείς,pronoun,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)arista/rxou,Ἀρίσταρχος,proper,de\,δέ,particle,tou=,ὁ,article,patro\s,πατήρ,noun,lttou=gt,,,tou/twn,οὗτος,pronoun,teleuth/santos,*dhmoxa/rhs,Δημοχάρης,proper,lto(gt,u(o\s,ὗς,noun,klhrono/mos,κληρονόμος,noun,tw=n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,kate/sth,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tou,οὗτος,pronoun,de\,δέ,particle,paido\s,παῖς,adjective,a)poqano/ntos,ἀποθνήσκω,verb,kai\,καί,conjunction,th=s,ὁ,article,e(te/ras,a)delfh=s,ἀδελφή,noun,h(,mh/thr,μήτηρ,noun,h(,ὁ,article,e)mh\,ἐμός,adjective,e)pi\,ἐπί,preposition,panti\,πᾶς,adjective,tw=|,ὁ,article,oi)/kw|,οἶκος,noun,e)pi/klhros,ἐπίκληρος,adjective,e)ge/neto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἕτερος,adjective,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(/tw,οὕτως,adverb,me\n,μέν,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,a(/panta,ἅπας,adjective,tauti\,th=s,ὁ,article,e)mh=s,mhtro\s,μήτηρ,noun,e)ge/neto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosh=kon,προσήκω,verb,d',δέ,particle,au)th=|,αὐτός,pronoun,meta\,μετά,preposition,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,tw=|,e)ggu/tata,ἐγγύτατος,adjective,ge/nous,sunoikei=n,συνοικέω,verb,pa/sxei,πάσχω,verb,deino/tata,δεινός,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,γένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aristome/nhs,Ἀριστομένης,proper,ga\r,γάρ,particle,a)delfo\s,ἀδελφός,adjective,w)\n,εἰμί,verb,e)kei/nou,ἐκεῖνος,pronoun,tou=,ὁ,article,*)arista/rxou,o)/ntos,εἰμί,verb,au)tw=|,u(e/os,υἱός,noun,kai\,καί,conjunction,qugatro/s,θυγάτηρ,adjective,a)melh/sas,ἀμελέω,verb,h)\,ἠέ,conjunction,au)to\s,αὐτός,pronoun,au)th\n,αὐτός,pronoun,e)/xein,ἔχω,verb,h)\,ἠέ,conjunction,tw=|,ὁ,article,u(ei=,υἱός,noun,meta\,μετά,preposition,tou=,ὁ,article,klh/rou,e)pidika/sasqai,ἐπιδικάζω,verb,tou/twn,me\n,μέν,particle,ou)de\n,οὐδείς,pronoun,e)poi/hse,ποιέω,verb,th\n,ὁ,article,de\,δέ,particle,e(autou=,ἑαυτοῦ,pronoun,qugate/ra,θυγάτηρ,adjective,e)pi\,ἐπί,preposition,toi=s,ὁ,article,th=s,ὁ,article,e)mh=s,ἐμός,adjective,mhtro\s,μήτηρ,noun,xrh/masi,χρῆμα,adjective,*kurwni/dh|,,,e)ce/dwken,ἐκδίδωμι,verb,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,Ἀρίσταρχος,proper,αὐτός,pronoun,κλῆρος,adjective,οὗτος,pronoun,o(,ὁ,article,*qenai/netos,ou(=tos,οὗτος,pronoun,kai\,καί,conjunction,*)ari/starxos,Ἀρίσταρχος,proper,o(,ὁ,article,teleuth/sas,τελευτάω,verb,e)ge/neto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,a)di/khma,ἀδίκημα,noun,kai\,καί,conjunction,o(\n,ὅς,pronoun,tro/pon,tw=n,ὁ,article,xrhma/twn,a)pesterh/qh,ἀποστερέω,verb,tou=t',οὗτος,pronoun,e)sti/n,εἰμί,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τρόπος,noun,χρῆμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,tau=ta,οὗτος,pronoun,th\n,ὁ,article,e)mh\n,ἐμός,adjective,mhte/ra,μήτηρ,noun,e)kdi/dwsi,tw=|,ὁ,article,e)mw=|,patri/,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκδίδωμι,verb,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kurwni/dou,,,de\,δέ,particle,teleuth/santos,τελευτάω,verb,to\n,ὁ,article,tou=,ὁ,article,*qenaine/tou,,,a)delfo\n,ei)sa/gousin,εἰσάγω,verb,*)arista/rxw|,u(o/n,υἱός,noun,ou)de\,οὐδέ,particle,kaq',κατά,preposition,e(/na,ἕνος,adjective,no/mon,νόμος,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,e)k,ἐκ,preposition,pollw=n,πολύς,adjective,tekmhri/wn,τεκμήριον,noun,u(mi=n,σύ,pronoun,e)pidei/cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀδελφός,adjective,Ἀρίσταρχος,proper,ἐπιδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,ma/rturas,μάρτυς,noun,u(mi=n,σύ,pronoun,pare/comai,παρέχω,verb,w(s,*kurwni/dhs,,,e)kpoi/htos,ei)s,εἰς,preposition,to\n,ὁ,article,*qenaine/tou,,,oi)=kon,οἶκος,noun,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,e)n,ἐν,preposition,e)kei/nw|,ἐκεῖνος,pronoun,e)teleu/thsen,τελευτάω,verb,e)/peiq',ἔπειτα,adverb,w(s,ὡς,conjunction,*)aristarxos,,,ou(=,ἕ,pronoun,h)=n,ou(=tos,οὗτος,pronoun,o(,klh=ros,κλῆρος,adjective,pro/teros,πρότερος,adjective,tou=,ὁ,article,u(e/os,υἱός,noun,*dhmoxa/rous,,,e)teleu/thse,τελευτάω,verb,*dhmoxa/rhs,Δημοχάρης,proper,de\,δέ,particle,pai=s,πᾶς,adjective,w)\n,εἰμί,verb,a)pe/qane,ἀποθνήσκω,verb,kai\,καί,conjunction,h(,ὁ,article,e(te/ra,ἕτερος,adjective,a)delfh/,ἀδελφή,noun,w(/ste,ὥστε,conjunction,to\n,ὁ,article,ὡς,conjunction,ἐκποίητος,adjective,εἰμί,verb,ὁ,article,klh=ron,κλῆρος,adjective,e)pi\,th=|,ὁ,article,e)mh=|,ἐμός,adjective,mhtri\,μήτηρ,noun,gene/sqai,γίγνομαι,verb,,,,,,,ἐπί,preposition,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,ka/lei,καλέω,verb,tou/twn,οὗτος,pronoun,tou\s,ὁ,article,ma/rturas,μάρτυς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,me\n,μέν,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,ltth=s,,,mhtro\s,μήτηρ,noun,th=s,e)mh=sgt,,,h)=n,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,o(,ὁ,article,klh=ros,κλῆρος,adjective,peri\,περί,preposition,ou(=,ἕ,pronoun,nu=n,νῦν,adverb,o(,ὁ,article,lo/gos,λόγος,noun,e)sti/,εἰμί,verb,*kurwni/dou,,,me\n,μέν,particle,e)kpoih/tou,ἐκποίητος,adjective,genome/nou,ei)s,εἰς,preposition,to\n,*qenaine/tou,,,oi)=kon,οἶκος,noun,tou=,ὁ,article,de\,δέ,particle,patro\s,πατήρ,noun,*)arista/rxou,Ἀρίσταρχος,proper,tw=|,ὁ,article,u(ei=,υἱός,noun,*dhmoxa/rei,,,katalipo/ntos,καταλιμπάνω,verb,e)kei/nou,ἐκεῖνος,pronoun,de\,δέ,particle,th=|,ὁ,article,a)delfh=|,ἀδελφή,noun,th=|,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,tau/th|,ταύτῃ,adverb,ὁ,article,εἰμί,verb,γίγνομαι,verb,ὁ,article,mhtri\,μήτηρ,noun,de\,e)mh=|,ἐμός,adjective,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,de/,δέ,particle,e)peidh\,ἐπεί,conjunction,li/an,λίαν,adverb,a)naisxuntou=sin,ἀναισχυντέω,verb,w)=,ὦ,interjection,a)/ndres,kai\,καί,conjunction,ta\,xrh/mata,χρῆμα,adjective,para\,παρά,preposition,to\,ὁ,article,di/kaion,δίκαιος,adjective,e)/xein,ἔχω,verb,a)ciou=si,ἀξιόω,verb,maqei=n,μανθάνω,verb,u(ma=s,σύ,pronoun,w(s,ὡς,conjunction,ou)de\,οὐδέ,particle,kaq',κατά,preposition,e(/na,ἕνος,adjective,no/mon,νόμος,noun,*)ari/starxos,ei)s,εἰς,preposition,tou\s,fra/toras,φράτηρ,noun,tou\s,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,ei)sh=ktai,εἰσάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,ὁ,article,Ἀρίσταρχος,proper,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,ga\r,γάρ,particle,tou=to,οὗτος,pronoun,ma/qhte,μανθάνω,verb,safw=s,σαφής,adverb,ei)/sesqe,εἶμι,verb,o(/ti,tw=|,ὁ,article,mh\,dikai/ws,δίκαιος,adjective,e)/xonti,ἔχω,verb,ou)de\,οὐδέ,particle,diati/qesqai,διατίθημι,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,prosh=ken,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅστις,pronoun,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,toi/nun,τοίνυν,particle,pa/ntas,πᾶς,adjective,u(ma=s,σύ,pronoun,ei)de/nai,οἶδα,verb,w)=,ὦ,interjection,a)/ndres,o(/ti,ὅστις,pronoun,kata\,diaqh/kas,διαθήκη,noun,ai(,ὁ,article,ei)sagwgai\,εἰσαγωγή,noun,tw=n,ὁ,article,ei)spoih/twn,εἰσποίητος,adjective,gi/gnontai,γίγνομαι,verb,dido/ntwn,δίδωμι,verb,ta\,ὁ,article,e(autw=n,ἑαυτοῦ,pronoun,kai\,καί,conjunction,u(ei=s,υἱός,noun,poioume/nwn,ποιέω,verb,a)/llws,ἄλλως,adverb,de\,ou)k,οὐ,adverb,e)/cestin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,κατά,preposition,δέ,particle,ἔξεστι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/te,εἴτε,adverb,ou)=n,οὖν,particle,*)ari/starxon,Ἀρίσταρχος,proper,fh/sei,φημί,verb,tis,τις,pronoun,au)to\n,αὐτός,pronoun,diaqe/sqai,ou)k,οὐ,adverb,a)lhqh=,le/cei,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διατίθημι,verb,ἀληθής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
